"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-17"
"TIME","20:04:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"CC","1.00","mA"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","6.01683E+02","-56.2085"
"2","10.6","5.76491E+02","-56.4867"
"3","11.23","5.58671E+02","-56.4009"
"4","11.9","5.40786E+02","-56.1654"
"5","12.6","5.23032E+02","-55.9374"
"6","13.35","5.05519E+02","-56.0799"
"7","14.15","4.88549E+02","-55.8598"
"8","14.99","4.73082E+02","-55.5852"
"9","15.89","4.58939E+02","-55.3939"
"10","16.83","4.44814E+02","-55.2111"
"11","17.83","4.31353E+02","-55.2667"
"12","18.9","4.17582E+02","-55.0628"
"13","20.02","4.04184E+02","-54.7613"
"14","21.21","3.90924E+02","-54.6412"
"15","22.48","3.80765E+02","-54.6421"
"16","23.82","3.68625E+02","-54.3520"
"17","25.24","3.56108E+02","-54.2945"
"18","26.74","3.45155E+02","-53.9726"
"19","28.33","3.35820E+02","-53.7514"
"20","30.02","3.25011E+02","-53.6021"
"21","31.81","3.14405E+02","-53.3173"
"22","33.7","3.04647E+02","-52.9546"
"23","35.71","2.95857E+02","-52.7486"
"24","37.83","2.87375E+02","-52.6068"
"25","40.09","2.77445E+02","-52.1516"
"26","42.48","2.68791E+02","-52.1145"
"27","45.01","2.61011E+02","-51.4171"
"28","47.69","2.53201E+02","-51.3270"
"29","50.53","2.45433E+02","-50.9503"
"30","53.54","2.38244E+02","-50.6824"
"31","56.72","2.30747E+02","-50.3475"
"32","60.1","2.23871E+02","-49.8794"
"33","63.68","2.17313E+02","-49.5404"
"34","67.48","2.09928E+02","-49.1225"
"35","71.49","2.03975E+02","-48.8196"
"36","75.75","1.98045E+02","-48.5328"
"37","80.26","1.91468E+02","-48.0932"
"38","85.04","1.86251E+02","-47.4962"
"39","90.11","1.80892E+02","-47.1473"
"40","95.48","1.75171E+02","-46.5719"
"41","101.16","1.70123E+02","-46.2494"
"42","107.19","1.65574E+02","-45.7419"
"43","113.57","1.60581E+02","-45.2949"
"44","120.34","1.56408E+02","-44.5038"
"45","127.51","1.51341E+02","-44.4715"
"46","135.1","1.47177E+02","-43.5704"
"47","143.15","1.43327E+02","-43.3234"
"48","151.67","1.39399E+02","-42.5898"
"49","160.71","1.35364E+02","-41.9062"
"50","170.28","1.31771E+02","-41.2665"
"51","180.42","1.28309E+02","-40.8736"
"52","191.16","1.24615E+02","-40.3319"
"53","202.55","1.21745E+02","-39.5516"
"54","214.61","1.18374E+02","-38.8135"
"55","227.4","1.15556E+02","-38.1552"
"56","240.94","1.12569E+02","-37.5128"
"57","255.29","1.09808E+02","-36.9626"
"58","270.5","1.07285E+02","-36.0824"
"59","286.61","1.04580E+02","-35.3844"
"60","303.68","1.02275E+02","-34.7148"
"61","321.76","9.98444E+01","-34.0141"
"62","340.93","9.76657E+01","-33.3611"
"63","361.23","9.56529E+01","-32.5912"
"64","382.75","9.37837E+01","-31.7863"
"65","405.55","9.17485E+01","-31.1068"
"66","429.7","9.00381E+01","-30.4025"
"67","455.29","8.81880E+01","-29.7071"
"68","482.41","8.65187E+01","-29.1070"
"69","511.14","8.49815E+01","-28.3891"
"70","541.59","8.34194E+01","-27.5650"
"71","573.84","8.20727E+01","-26.8852"
"72","608.02","8.07315E+01","-26.2196"
"73","644.24","7.93875E+01","-25.4852"
"74","682.61","7.82794E+01","-24.7648"
"75","723.26","7.71394E+01","-24.1471"
"76","766.34","7.59723E+01","-23.4169"
"77","811.98","7.48984E+01","-22.7323"
"78","860.35","7.38507E+01","-22.1900"
"79","911.59","7.29573E+01","-21.5015"
"80","965.88","7.20424E+01","-20.8936"
"81","1023.4","7.13834E+01","-20.2040"
"82","1084.4","7.03997E+01","-19.6602"
"83","1149.0","6.95981E+01","-19.1643"
"84","1217.4","6.88738E+01","-18.5331"
"85","1289.9","6.81570E+01","-18.0118"
"86","1366.7","6.74198E+01","-17.4125"
"87","1448.1","6.68866E+01","-16.8226"
"88","1534.4","6.63158E+01","-16.4079"
"89","1625.8","6.57115E+01","-15.9282"
"90","1722.6","6.51276E+01","-15.4030"
"91","1825.2","6.45744E+01","-14.9440"
"92","1933.9","6.40695E+01","-14.4401"
"93","2049.1","6.35064E+01","-14.0016"
"94","2171.1","6.31139E+01","-13.5715"
"95","2300.4","6.27319E+01","-13.1606"
"96","2437.4","6.22277E+01","-12.7228"
"97","2582.6","6.18196E+01","-12.3619"
"98","2736.4","6.13854E+01","-11.9882"
"99","2899.4","6.11021E+01","-11.5474"
"100","3072.1","6.08197E+01","-11.2173"
"101","3255.1","6.03789E+01","-10.8306"
"102","3449.0","5.99967E+01","-10.5100"
"103","3654.4","5.96956E+01","-10.1580"
"104","3872.0","5.93620E+01","-9.8348"
"105","4102.7","5.91443E+01","-9.5639"
"106","4347.0","5.88999E+01","-9.2381"
"107","4605.9","5.85087E+01","-8.9542"
"108","4880.3","5.82977E+01","-8.6924"
"109","5170.9","5.79845E+01","-8.3739"
"110","5478.9","5.78355E+01","-8.1100"
"111","5805.2","5.76344E+01","-7.8505"
"112","6151.0","5.73240E+01","-7.5831"
"113","6517.3","5.71306E+01","-7.3549"
"114","6905.5","5.69097E+01","-7.1543"
"115","7316.8","5.67145E+01","-6.8690"
"116","7752.6","5.64725E+01","-6.6757"
"117","8214.3","5.62358E+01","-6.4592"
"118","8703.6","5.60956E+01","-6.2203"
"119","9222.0","5.60536E+01","-6.0506"
"120","9771.2","5.58563E+01","-5.8348"
"121","10353.0","5.56824E+01","-5.6494"
"122","10970.0","5.55132E+01","-5.4448"
"123","11623.0","5.53093E+01","-5.2832"
"124","12316.0","5.52061E+01","-5.0978"
"125","13049.0","5.51922E+01","-4.9303"
"126","13826.0","5.49334E+01","-4.7528"
"127","14650.0","5.47629E+01","-4.6093"
"128","15522.0","5.46340E+01","-4.4592"
"129","16447.0","5.45693E+01","-4.3202"
"130","17426.0","5.44906E+01","-4.1656"
"131","18464.0","5.43842E+01","-4.0340"
"132","19564.0","5.42320E+01","-3.8930"
"133","20729.0","5.40185E+01","-3.7582"
"134","21964.0","5.41095E+01","-3.6403"
"135","23272.0","5.38948E+01","-3.5073"
"136","24658.0","5.38078E+01","-3.3918"
"137","26127.0","5.37353E+01","-3.2806"
"138","27683.0","5.37356E+01","-3.1756"
"139","29332.0","5.35646E+01","-3.0659"
"140","31079.0","5.35219E+01","-2.9426"
"141","32930.0","5.34506E+01","-2.8607"
"142","34891.0","5.33813E+01","-2.7528"
"143","36969.0","5.33195E+01","-2.6705"
"144","39171.0","5.32633E+01","-2.5692"
"145","41504.0","5.31213E+01","-2.4739"
"146","43976.0","5.31537E+01","-2.3830"
"147","46595.0","5.30011E+01","-2.3071"
"148","49370.0","5.29797E+01","-2.2198"
"149","52311.0","5.29247E+01","-2.1396"
"150","55427.0","5.28545E+01","-2.0651"
"151","58728.0","5.27573E+01","-1.9939"
"152","62226.0","5.27615E+01","-1.9216"
"153","65932.0","5.27336E+01","-1.8498"
"154","69859.0","5.25717E+01","-1.7876"
"155","74020.0","5.25936E+01","-1.7188"
"156","78428.0","5.25538E+01","-1.6564"
"157","83099.0","5.25106E+01","-1.5941"
"158","88049.0","5.24775E+01","-1.5367"
"159","93293.0","5.24949E+01","-1.4727"
"160","98850.0","5.24003E+01","-1.4268"
"161","104740.0","5.24590E+01","-1.3667"
"162","110980.0","5.24163E+01","-1.3127"
"163","117580.0","5.22262E+01","-1.2580"
"164","124590.0","5.22403E+01","-1.1984"
"165","132010.0","5.22247E+01","-1.1450"
"166","139870.0","5.21626E+01","-1.0966"
"167","148200.0","5.22282E+01","-1.0455"
"168","157030.0","5.21672E+01","-0.9945"
"169","166380.0","5.20562E+01","-0.9399"
"170","176290.0","5.20825E+01","-0.8908"
"171","186790.0","5.20832E+01","-0.8450"
"172","197920.0","5.19849E+01","-0.7936"
"173","209700.0","5.19850E+01","-0.7436"
"174","222190.0","5.19909E+01","-0.6945"
"175","235430.0","5.19842E+01","-0.6445"
"176","249450.0","5.18814E+01","-0.5904"
"177","264310.0","5.18619E+01","-0.5437"
"178","280050.0","5.18516E+01","-0.4909"
"179","296730.0","5.17642E+01","-0.4394"
