"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-23"
"TIME","19:48:42"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","710.7228E+00","-51.575"
"2","10.600E+00","680.5636E+00","-51.278"
"3","11.230E+00","654.7045E+00","-51.015"
"4","11.900E+00","630.4696E+00","-50.796"
"5","12.600E+00","607.4327E+00","-50.631"
"6","13.350E+00","583.8871E+00","-50.418"
"7","14.150E+00","560.7828E+00","-50.111"
"8","14.990E+00","539.2640E+00","-49.777"
"9","15.890E+00","519.0795E+00","-49.412"
"10","16.830E+00","500.5786E+00","-49.074"
"11","17.830E+00","483.4951E+00","-48.757"
"12","18.900E+00","466.9769E+00","-48.506"
"13","20.020E+00","450.3578E+00","-48.244"
"14","21.210E+00","433.9167E+00","-47.905"
"15","22.480E+00","418.0382E+00","-47.453"
"16","23.820E+00","403.5997E+00","-47.017"
"17","25.240E+00","390.4324E+00","-46.582"
"18","26.740E+00","378.3348E+00","-46.221"
"19","28.330E+00","366.3092E+00","-45.939"
"20","30.020E+00","353.7044E+00","-45.604"
"21","31.810E+00","341.2645E+00","-45.102"
"22","33.700E+00","330.4240E+00","-44.538"
"23","35.710E+00","320.3811E+00","-44.065"
"24","37.830E+00","311.9394E+00","-43.646"
"25","40.090E+00","302.8387E+00","-43.325"
"26","42.480E+00","293.3775E+00","-42.980"
"27","45.010E+00","284.4026E+00","-42.454"
"28","47.690E+00","276.4647E+00","-41.877"
"29","50.530E+00","269.4357E+00","-41.367"
"30","53.540E+00","262.6960E+00","-41.001"
"31","56.720E+00","255.2929E+00","-40.649"
"32","60.100E+00","247.7010E+00","-40.104"
"33","63.680E+00","241.1574E+00","-39.456"
"34","67.480E+00","236.6716E+00","-39.084"
"35","71.490E+00","230.7075E+00","-38.766"
"36","75.750E+00","224.6180E+00","-38.230"
"37","80.260E+00","219.2268E+00","-37.625"
"38","85.040E+00","214.6470E+00","-37.053"
"39","90.110E+00","210.3009E+00","-36.722"
"40","95.480E+00","205.1513E+00","-36.326"
"41","101.16E+00","200.1837E+00","-35.720"
"42","107.19E+00","196.4827E+00","-35.100"
"43","113.57E+00","192.6515E+00","-34.860"
"44","120.34E+00","188.2266E+00","-34.303"
"45","127.51E+00","185.1674E+00","-33.763"
"46","135.10E+00","181.1829E+00","-33.461"
"47","143.15E+00","177.5445E+00","-32.809"
"48","151.67E+00","174.8470E+00","-32.462"
"49","160.71E+00","171.0715E+00","-32.023"
"50","170.28E+00","168.5295E+00","-31.445"
"51","180.42E+00","165.2609E+00","-31.145"
"52","191.16E+00","162.4947E+00","-30.504"
"53","202.55E+00","159.8979E+00","-30.255"
"54","214.61E+00","157.0165E+00","-29.658"
"55","227.40E+00","154.8425E+00","-29.346"
"56","240.94E+00","152.0087E+00","-28.788"
"57","255.29E+00","150.0300E+00","-28.461"
"58","270.50E+00","147.4102E+00","-27.924"
"59","286.61E+00","145.4687E+00","-27.620"
"60","303.68E+00","143.1802E+00","-27.042"
"61","321.76E+00","141.2954E+00","-26.774"
"62","340.93E+00","139.1213E+00","-26.212"
"63","361.23E+00","137.1713E+00","-25.931"
"64","382.75E+00","135.5594E+00","-25.432"
"65","405.55E+00","133.4276E+00","-25.016"
"66","429.70E+00","131.7714E+00","-24.707"
"67","455.29E+00","130.2853E+00","-24.261"
"68","482.41E+00","128.4917E+00","-23.788"
"69","511.14E+00","126.9817E+00","-23.415"
"70","541.59E+00","125.2866E+00","-23.148"
"71","573.84E+00","123.9625E+00","-22.739"
"72","608.02E+00","122.5234E+00","-22.351"
"73","644.24E+00","121.0255E+00","-21.990"
"74","682.61E+00","119.4778E+00","-21.564"
"75","723.26E+00","118.3649E+00","-21.137"
"76","766.34E+00","116.8458E+00","-20.777"
"77","811.98E+00","115.7332E+00","-20.492"
"78","860.35E+00","114.3723E+00","-20.079"
"79","911.59E+00","113.2127E+00","-19.650"
"80","965.88E+00","112.1518E+00","-19.388"
"81","1.0234E+03","111.0481E+00","-19.034"
"82","1.0844E+03","109.9245E+00","-18.677"
"83","1.1490E+03","108.9130E+00","-18.235"
"84","1.2174E+03","107.9365E+00","-17.937"
"85","1.2899E+03","106.9062E+00","-17.531"
"86","1.3667E+03","105.9426E+00","-17.261"
"87","1.4481E+03","104.9936E+00","-16.921"
"88","1.5344E+03","103.9710E+00","-16.587"
"89","1.6258E+03","103.2000E+00","-16.232"
"90","1.7226E+03","102.2648E+00","-15.936"
"91","1.8252E+03","101.4359E+00","-15.585"
"92","1.9339E+03","100.5341E+00","-15.277"
"93","2.0491E+03","99.73274E+00","-14.918"
"94","2.1711E+03","98.98892E+00","-14.556"
"95","2.3004E+03","98.21511E+00","-14.252"
"96","2.4374E+03","97.52354E+00","-13.930"
"97","2.5826E+03","96.85702E+00","-13.649"
"98","2.7364E+03","96.16844E+00","-13.343"
"99","2.8994E+03","95.34527E+00","-12.999"
"100","3.0721E+03","94.81474E+00","-12.740"
"101","3.2551E+03","94.16645E+00","-12.445"
"102","3.4490E+03","93.55792E+00","-12.149"
"103","3.6544E+03","92.90835E+00","-11.846"
"104","3.8720E+03","92.33525E+00","-11.563"
"105","4.1027E+03","91.78397E+00","-11.270"
"106","4.3470E+03","91.25079E+00","-10.970"
"107","4.6059E+03","90.77268E+00","-10.683"
"108","4.8803E+03","90.20587E+00","-10.417"
"109","5.1709E+03","89.72161E+00","-10.140"
"110","5.4789E+03","89.26665E+00","-9.851"
"111","5.8052E+03","88.80445E+00","-9.582"
"112","6.1510E+03","88.37446E+00","-9.334"
"113","6.5173E+03","87.94720E+00","-9.072"
"114","6.9055E+03","87.55523E+00","-8.807"
"115","7.3168E+03","87.15029E+00","-8.552"
"116","7.7526E+03","86.76295E+00","-8.307"
"117","8.2143E+03","86.42056E+00","-8.081"
"118","8.7036E+03","86.05756E+00","-7.839"
"119","9.2220E+03","85.72908E+00","-7.611"
"120","9.7712E+03","85.40023E+00","-7.389"
"121","10.353E+03","85.07204E+00","-7.172"
"122","10.970E+03","84.77238E+00","-6.956"
"123","11.623E+03","84.48177E+00","-6.742"
"124","12.316E+03","84.20300E+00","-6.542"
"125","13.049E+03","83.93649E+00","-6.344"
"126","13.826E+03","83.67104E+00","-6.149"
"127","14.650E+03","83.42213E+00","-5.958"
"128","15.522E+03","83.18294E+00","-5.772"
"129","16.447E+03","82.95272E+00","-5.591"
"130","17.426E+03","82.73349E+00","-5.415"
"131","18.464E+03","82.52086E+00","-5.245"
"132","19.564E+03","82.30896E+00","-5.081"
"133","20.729E+03","82.12050E+00","-4.916"
"134","21.964E+03","81.92516E+00","-4.759"
"135","23.272E+03","81.74439E+00","-4.610"
"136","24.658E+03","81.56454E+00","-4.465"
"137","26.127E+03","81.40189E+00","-4.319"
"138","27.683E+03","81.23263E+00","-4.179"
"139","29.332E+03","81.07835E+00","-4.047"
"140","31.079E+03","80.91717E+00","-3.916"
"141","32.930E+03","80.77109E+00","-3.790"
"142","34.891E+03","80.62764E+00","-3.667"
"143","36.969E+03","80.49138E+00","-3.546"
"144","39.171E+03","80.35900E+00","-3.430"
"145","41.504E+03","80.23122E+00","-3.318"
"146","43.976E+03","80.11011E+00","-3.212"
"147","46.595E+03","79.99247E+00","-3.104"
"148","49.370E+03","79.87425E+00","-3.002"
"149","52.311E+03","79.76713E+00","-2.902"
"150","55.427E+03","79.65755E+00","-2.805"
"151","58.728E+03","79.55593E+00","-2.713"
"152","62.226E+03","79.45533E+00","-2.623"
"153","65.932E+03","79.35911E+00","-2.531"
"154","69.859E+03","79.26545E+00","-2.446"
"155","74.020E+03","79.17796E+00","-2.364"
"156","78.428E+03","79.08867E+00","-2.282"
"157","83.099E+03","79.00964E+00","-2.206"
"158","88.049E+03","78.92662E+00","-2.131"
"159","93.293E+03","78.84926E+00","-2.055"
"160","98.850E+03","78.77390E+00","-1.982"
"161","104.74E+03","78.69198E+00","-1.913"
"162","110.98E+03","78.62479E+00","-1.843"
"163","117.58E+03","78.55735E+00","-1.778"
"164","124.59E+03","78.49144E+00","-1.714"
"165","132.01E+03","78.43270E+00","-1.650"
"166","139.87E+03","78.36994E+00","-1.589"
"167","148.20E+03","78.31207E+00","-1.528"
"168","157.03E+03","78.25377E+00","-1.469"
"169","166.38E+03","78.20049E+00","-1.412"
"170","176.29E+03","78.14905E+00","-1.357"
"171","186.79E+03","78.09889E+00","-1.301"
"172","197.92E+03","78.04769E+00","-1.249"
"173","209.70E+03","78.00502E+00","-1.198"
"174","222.19E+03","77.95735E+00","-1.146"
"175","235.43E+03","77.91344E+00","-1.097"
"176","249.45E+03","77.87152E+00","-1.046"
"177","264.31E+03","77.83402E+00","-0.999"
"178","280.05E+03","77.79200E+00","-0.949"
"179","296.73E+03","77.75423E+00","-0.904"
"180","314.40E+03","77.71069E+00","-0.857"
"181","333.13E+03","77.67707E+00","-0.811"
"182","352.97E+03","77.64567E+00","-0.766"
"183","373.99E+03","77.61119E+00","-0.721"
"184","396.27E+03","77.58299E+00","-0.676"
"185","419.87E+03","77.55219E+00","-0.631"
"186","444.88E+03","77.52228E+00","-0.587"
"187","471.38E+03","77.49617E+00","-0.543"
"188","499.45E+03","77.46649E+00","-0.498"
"189","529.20E+03","77.43880E+00","-0.454"
"190","560.72E+03","77.41389E+00","-0.408"
"191","594.11E+03","77.38791E+00","-0.363"
"192","629.50E+03","77.36710E+00","-0.318"
"193","666.99E+03","77.34668E+00","-0.271"
"194","706.72E+03","77.32543E+00","-0.224"
"195","748.81E+03","77.30411E+00","-0.177"
"196","793.41E+03","77.28242E+00","-0.129"
"197","840.67E+03","77.26410E+00","-0.080"
"198","890.74E+03","77.24682E+00","-0.029"
