"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-17"
"TIME","20:16:55"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"CC","1.00","mA"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","556.2190E+00","-54.171"
"2","10.600E+00","547.5968E+00","-54.538"
"3","11.230E+00","536.6609E+00","-54.773"
"4","11.900E+00","523.9817E+00","-54.928"
"5","12.600E+00","511.4413E+00","-54.982"
"6","13.350E+00","499.0997E+00","-54.980"
"7","14.150E+00","487.4757E+00","-54.939"
"8","14.990E+00","476.4488E+00","-54.966"
"9","15.890E+00","464.5803E+00","-55.041"
"10","16.830E+00","453.1829E+00","-55.122"
"11","17.830E+00","441.5076E+00","-55.034"
"12","18.900E+00","430.5698E+00","-54.981"
"13","20.020E+00","421.0651E+00","-54.967"
"14","21.210E+00","410.6316E+00","-55.004"
"15","22.480E+00","400.0696E+00","-55.064"
"16","23.820E+00","389.9681E+00","-55.028"
"17","25.240E+00","380.4269E+00","-54.928"
"18","26.740E+00","371.9983E+00","-54.926"
"19","28.330E+00","362.3893E+00","-54.958"
"20","30.020E+00","353.1046E+00","-55.029"
"21","31.810E+00","344.2185E+00","-54.904"
"22","33.700E+00","336.2170E+00","-54.871"
"23","35.710E+00","327.8939E+00","-54.931"
"24","37.830E+00","319.2536E+00","-54.912"
"25","40.090E+00","311.1931E+00","-54.834"
"26","42.480E+00","303.7829E+00","-54.817"
"27","45.010E+00","295.7027E+00","-54.914"
"28","47.690E+00","287.9236E+00","-54.910"
"29","50.530E+00","280.9011E+00","-54.831"
"30","53.540E+00","273.5149E+00","-54.844"
"31","56.720E+00","266.3771E+00","-54.829"
"32","60.100E+00","259.1653E+00","-54.766"
"33","63.680E+00","252.5966E+00","-54.783"
"34","67.480E+00","245.7073E+00","-54.871"
"35","71.490E+00","239.7789E+00","-54.791"
"36","75.750E+00","233.1424E+00","-54.850"
"37","80.260E+00","226.8672E+00","-54.775"
"38","85.040E+00","220.8551E+00","-54.753"
"39","90.110E+00","214.5582E+00","-54.809"
"40","95.480E+00","208.8544E+00","-54.713"
"41","101.16E+00","203.4419E+00","-54.770"
"42","107.19E+00","198.1137E+00","-54.772"
"43","113.57E+00","192.5999E+00","-54.754"
"44","120.34E+00","187.4192E+00","-54.800"
"45","127.51E+00","182.3054E+00","-54.790"
"46","135.10E+00","177.1277E+00","-54.766"
"47","143.15E+00","172.0385E+00","-54.751"
"48","151.67E+00","167.1796E+00","-54.767"
"49","160.71E+00","162.3710E+00","-54.763"
"50","170.28E+00","157.7644E+00","-54.753"
"51","180.42E+00","153.0469E+00","-54.734"
"52","191.16E+00","148.5071E+00","-54.709"
"53","202.55E+00","143.9854E+00","-54.663"
"54","214.61E+00","139.6766E+00","-54.637"
"55","227.40E+00","135.3670E+00","-54.586"
"56","240.94E+00","131.2648E+00","-54.531"
"57","255.29E+00","127.1563E+00","-54.481"
"58","270.50E+00","123.0774E+00","-54.396"
"59","286.61E+00","119.1999E+00","-54.326"
"60","303.68E+00","115.3831E+00","-54.252"
"61","321.76E+00","111.6766E+00","-54.145"
"62","340.93E+00","108.1402E+00","-54.052"
"63","361.23E+00","104.6310E+00","-53.921"
"64","382.75E+00","101.1817E+00","-53.815"
"65","405.55E+00","97.87659E+00","-53.646"
"66","429.70E+00","94.61662E+00","-53.490"
"67","455.29E+00","91.46308E+00","-53.318"
"68","482.41E+00","88.43085E+00","-53.118"
"69","511.14E+00","85.46507E+00","-52.937"
"70","541.59E+00","82.62398E+00","-52.723"
"71","573.84E+00","79.84276E+00","-52.475"
"72","608.02E+00","77.16304E+00","-52.228"
"73","644.24E+00","74.56315E+00","-51.969"
"74","682.61E+00","72.09521E+00","-51.645"
"75","723.26E+00","69.65175E+00","-51.393"
"76","766.34E+00","67.30617E+00","-51.054"
"77","811.98E+00","65.04962E+00","-50.713"
"78","860.35E+00","62.87385E+00","-50.338"
"79","911.59E+00","60.74625E+00","-49.958"
"80","965.88E+00","58.76574E+00","-49.564"
"81","1.0234E+03","56.82799E+00","-49.141"
"82","1.0844E+03","54.96764E+00","-48.689"
"83","1.1490E+03","53.18491E+00","-48.229"
"84","1.2174E+03","51.47519E+00","-47.757"
"85","1.2899E+03","49.83030E+00","-47.253"
"86","1.3667E+03","48.25387E+00","-46.720"
"87","1.4481E+03","46.72845E+00","-46.165"
"88","1.5344E+03","45.28308E+00","-45.612"
"89","1.6258E+03","43.89783E+00","-45.019"
"90","1.7226E+03","42.56371E+00","-44.408"
"91","1.8252E+03","41.27792E+00","-43.775"
"92","1.9339E+03","40.07929E+00","-43.130"
"93","2.0491E+03","38.90739E+00","-42.455"
"94","2.1711E+03","37.81835E+00","-41.791"
"95","2.3004E+03","36.75834E+00","-41.105"
"96","2.4374E+03","35.73922E+00","-40.346"
"97","2.5826E+03","34.78783E+00","-39.667"
"98","2.7364E+03","33.89376E+00","-38.900"
"99","2.8994E+03","33.02643E+00","-38.169"
"100","3.0721E+03","32.19884E+00","-37.401"
"101","3.2551E+03","31.40422E+00","-36.651"
"102","3.4490E+03","30.65896E+00","-35.875"
"103","3.6544E+03","29.92639E+00","-35.109"
"104","3.8720E+03","29.28032E+00","-34.352"
"105","4.1027E+03","28.64575E+00","-33.551"
"106","4.3470E+03","28.03543E+00","-32.781"
"107","4.6059E+03","27.45397E+00","-31.986"
"108","4.8803E+03","26.92192E+00","-31.204"
"109","5.1709E+03","26.40172E+00","-30.440"
"110","5.4789E+03","25.90455E+00","-29.675"
"111","5.8052E+03","25.44798E+00","-28.897"
"112","6.1510E+03","25.00384E+00","-28.138"
"113","6.5173E+03","24.58585E+00","-27.375"
"114","6.9055E+03","24.19269E+00","-26.632"
"115","7.3168E+03","23.79700E+00","-25.888"
"116","7.7526E+03","23.45412E+00","-25.182"
"117","8.2143E+03","23.10669E+00","-24.432"
"118","8.7036E+03","22.78985E+00","-23.741"
"119","9.2220E+03","22.48944E+00","-23.051"
"120","9.7712E+03","22.20029E+00","-22.380"
"121","10.353E+03","21.91893E+00","-21.690"
"122","10.970E+03","21.65527E+00","-21.034"
"123","11.623E+03","21.40416E+00","-20.404"
"124","12.316E+03","21.17206E+00","-19.762"
"125","13.049E+03","20.94273E+00","-19.156"
"126","13.826E+03","20.73356E+00","-18.549"
"127","14.650E+03","20.52861E+00","-17.957"
"128","15.522E+03","20.33404E+00","-17.357"
"129","16.447E+03","20.15123E+00","-16.805"
"130","17.426E+03","19.97447E+00","-16.247"
"131","18.464E+03","19.80870E+00","-15.711"
"132","19.564E+03","19.64834E+00","-15.194"
"133","20.729E+03","19.49612E+00","-14.675"
"134","21.964E+03","19.34904E+00","-14.172"
"135","23.272E+03","19.21176E+00","-13.681"
"136","24.658E+03","19.08465E+00","-13.205"
"137","26.127E+03","18.95714E+00","-12.750"
"138","27.683E+03","18.84321E+00","-12.296"
"139","29.332E+03","18.72929E+00","-11.861"
"140","31.079E+03","18.62282E+00","-11.438"
"141","32.930E+03","18.51819E+00","-11.012"
"142","34.891E+03","18.42119E+00","-10.614"
"143","36.969E+03","18.32504E+00","-10.211"
"144","39.171E+03","18.23851E+00","-9.830"
"145","41.504E+03","18.14866E+00","-9.458"
"146","43.976E+03","18.07011E+00","-9.080"
"147","46.595E+03","17.99198E+00","-8.729"
"148","49.370E+03","17.92274E+00","-8.381"
"149","52.311E+03","17.85295E+00","-8.050"
"150","55.427E+03","17.78970E+00","-7.719"
"151","58.728E+03","17.72894E+00","-7.417"
"152","62.226E+03","17.67066E+00","-7.106"
"153","65.932E+03","17.61244E+00","-6.802"
"154","69.859E+03","17.55907E+00","-6.516"
"155","74.020E+03","17.50662E+00","-6.237"
"156","78.428E+03","17.45687E+00","-5.962"
"157","83.099E+03","17.40876E+00","-5.705"
"158","88.049E+03","17.36469E+00","-5.448"
"159","93.293E+03","17.32236E+00","-5.184"
"160","98.850E+03","17.27994E+00","-4.957"
"161","104.74E+03","17.24090E+00","-4.706"
"162","110.98E+03","17.20410E+00","-4.474"
"163","117.58E+03","17.17005E+00","-4.237"
"164","124.59E+03","17.13591E+00","-4.016"
"165","132.01E+03","17.10348E+00","-3.796"
"166","139.87E+03","17.07659E+00","-3.571"
"167","148.20E+03","17.04580E+00","-3.365"
"168","157.03E+03","17.01548E+00","-3.146"
