"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-23"
"TIME","20:06:42"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","665.8999E+00","-47.767"
"2","10.600E+00","640.0907E+00","-47.643"
"3","11.230E+00","616.9644E+00","-47.422"
"4","11.900E+00","595.5405E+00","-47.185"
"5","12.600E+00","575.9242E+00","-46.972"
"6","13.350E+00","557.5112E+00","-46.802"
"7","14.150E+00","539.4060E+00","-46.702"
"8","14.990E+00","520.8344E+00","-46.570"
"9","15.890E+00","502.4145E+00","-46.364"
"10","16.830E+00","485.1648E+00","-46.110"
"11","17.830E+00","469.1723E+00","-45.848"
"12","18.900E+00","454.1705E+00","-45.583"
"13","20.020E+00","440.6708E+00","-45.354"
"14","21.210E+00","427.5629E+00","-45.237"
"15","22.480E+00","413.4982E+00","-45.071"
"16","23.820E+00","399.5949E+00","-44.825"
"17","25.240E+00","386.7069E+00","-44.514"
"18","26.740E+00","375.0790E+00","-44.195"
"19","28.330E+00","364.6436E+00","-43.922"
"20","30.020E+00","354.6761E+00","-43.777"
"21","31.810E+00","343.9851E+00","-43.631"
"22","33.700E+00","333.4025E+00","-43.378"
"23","35.710E+00","323.0303E+00","-43.068"
"24","37.830E+00","314.3531E+00","-42.722"
"25","40.090E+00","306.0414E+00","-42.406"
"26","42.480E+00","297.9623E+00","-42.278"
"27","45.010E+00","289.5984E+00","-42.148"
"28","47.690E+00","281.0280E+00","-41.864"
"29","50.530E+00","273.2179E+00","-41.497"
"30","53.540E+00","266.3644E+00","-41.153"
"31","56.720E+00","260.1841E+00","-40.937"
"32","60.100E+00","253.5729E+00","-40.810"
"33","63.680E+00","246.5455E+00","-40.553"
"34","67.480E+00","240.1425E+00","-40.210"
"35","71.490E+00","235.4481E+00","-39.929"
"36","75.750E+00","229.6769E+00","-39.822"
"37","80.260E+00","223.2301E+00","-39.543"
"38","85.040E+00","217.8003E+00","-39.123"
"39","90.110E+00","213.1687E+00","-38.856"
"40","95.480E+00","208.6992E+00","-38.685"
"41","101.16E+00","203.2816E+00","-38.554"
"42","107.19E+00","198.4428E+00","-38.138"
"43","113.57E+00","194.7324E+00","-37.924"
"44","120.34E+00","189.8367E+00","-37.770"
"45","127.51E+00","185.6314E+00","-37.361"
"46","135.10E+00","182.1715E+00","-37.217"
"47","143.15E+00","177.5600E+00","-37.042"
"48","151.67E+00","174.0728E+00","-36.640"
"49","160.71E+00","170.7836E+00","-36.526"
"50","170.28E+00","166.6174E+00","-36.229"
"51","180.42E+00","163.7433E+00","-35.946"
"52","191.16E+00","159.7724E+00","-35.814"
"53","202.55E+00","156.9300E+00","-35.422"
"54","214.61E+00","153.8242E+00","-35.371"
"55","227.40E+00","150.5000E+00","-34.960"
"56","240.94E+00","147.7872E+00","-34.862"
"57","255.29E+00","144.4408E+00","-34.553"
"58","270.50E+00","142.2277E+00","-34.314"
"59","286.61E+00","139.0561E+00","-34.041"
"60","303.68E+00","136.7390E+00","-33.869"
"61","321.76E+00","133.7908E+00","-33.501"
"62","340.93E+00","131.5752E+00","-33.409"
"63","361.23E+00","129.1462E+00","-33.007"
"64","382.75E+00","126.4306E+00","-32.862"
"65","405.55E+00","124.5328E+00","-32.566"
"66","429.70E+00","121.9818E+00","-32.277"
"67","455.29E+00","119.7535E+00","-32.137"
"68","482.41E+00","117.9084E+00","-31.842"
"69","511.14E+00","115.8897E+00","-31.616"
"70","541.59E+00","113.7436E+00","-31.260"
"71","573.84E+00","111.5266E+00","-30.987"
"72","608.02E+00","109.6143E+00","-30.778"
"73","644.24E+00","107.6427E+00","-30.486"
"74","682.61E+00","106.1029E+00","-30.203"
"75","723.26E+00","104.2061E+00","-30.052"
"76","766.34E+00","102.3891E+00","-29.625"
"77","811.98E+00","100.7746E+00","-29.343"
"78","860.35E+00","99.18003E+00","-29.065"
"79","911.59E+00","97.53961E+00","-28.857"
"80","965.88E+00","95.86219E+00","-28.446"
"81","1.0234E+03","94.33405E+00","-28.164"
"82","1.0844E+03","92.82513E+00","-27.840"
"83","1.1490E+03","91.29093E+00","-27.573"
"84","1.2174E+03","89.92769E+00","-27.208"
"85","1.2899E+03","88.52435E+00","-26.871"
"86","1.3667E+03","87.25681E+00","-26.653"
"87","1.4481E+03","85.85615E+00","-26.335"
"88","1.5344E+03","84.53084E+00","-25.912"
"89","1.6258E+03","83.37996E+00","-25.634"
"90","1.7226E+03","82.08009E+00","-25.298"
"91","1.8252E+03","80.78437E+00","-24.940"
"92","1.9339E+03","79.78946E+00","-24.543"
"93","2.0491E+03","78.55446E+00","-24.125"
"94","2.1711E+03","77.57420E+00","-23.710"
"95","2.3004E+03","76.45225E+00","-23.338"
"96","2.4374E+03","75.50591E+00","-22.964"
"97","2.5826E+03","74.51291E+00","-22.592"
"98","2.7364E+03","73.49674E+00","-22.199"
"99","2.8994E+03","72.50902E+00","-21.787"
"100","3.0721E+03","71.61333E+00","-21.410"
"101","3.2551E+03","70.72756E+00","-20.981"
"102","3.4490E+03","69.90087E+00","-20.557"
"103","3.6544E+03","69.08852E+00","-20.178"
"104","3.8720E+03","68.25849E+00","-19.736"
"105","4.1027E+03","67.54794E+00","-19.284"
"106","4.3470E+03","66.81462E+00","-18.844"
"107","4.6059E+03","66.01688E+00","-18.413"
"108","4.8803E+03","65.34505E+00","-17.973"
"109","5.1709E+03","64.71187E+00","-17.551"
"110","5.4789E+03","64.07641E+00","-17.115"
"111","5.8052E+03","63.47120E+00","-16.699"
"112","6.1510E+03","62.89332E+00","-16.262"
"113","6.5173E+03","62.32185E+00","-15.852"
"114","6.9055E+03","61.78564E+00","-15.385"
"115","7.3168E+03","61.28662E+00","-14.989"
"116","7.7526E+03","60.76784E+00","-14.558"
"117","8.2143E+03","60.30494E+00","-14.154"
"118","8.7036E+03","59.85300E+00","-13.769"
"119","9.2220E+03","59.42720E+00","-13.384"
