"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-08"
"TIME","18:13:02"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","905.6854E+00","-59.476"
"2","10.600E+00","865.0208E+00","-59.334"
"3","11.230E+00","826.2705E+00","-59.208"
"4","11.900E+00","788.9786E+00","-59.052"
"5","12.600E+00","753.9515E+00","-58.866"
"6","13.350E+00","720.5089E+00","-58.686"
"7","14.150E+00","688.8142E+00","-58.494"
"8","14.990E+00","659.1639E+00","-58.315"
"9","15.890E+00","630.8800E+00","-58.152"
"10","16.830E+00","603.8758E+00","-58.005"
"11","17.830E+00","577.5660E+00","-57.817"
"12","18.900E+00","552.2153E+00","-57.586"
"13","20.020E+00","528.7013E+00","-57.353"
"14","21.210E+00","506.4875E+00","-57.119"
"15","22.480E+00","485.5926E+00","-56.900"
"16","23.820E+00","465.6359E+00","-56.709"
"17","25.240E+00","446.2284E+00","-56.520"
"18","26.740E+00","427.4545E+00","-56.269"
"19","28.330E+00","409.6696E+00","-55.995"
"20","30.020E+00","393.0612E+00","-55.699"
"21","31.810E+00","377.4611E+00","-55.437"
"22","33.700E+00","362.9272E+00","-55.218"
"23","35.710E+00","348.5606E+00","-55.005"
"24","37.830E+00","334.4387E+00","-54.737"
"25","40.090E+00","321.0147E+00","-54.375"
"26","42.480E+00","308.7373E+00","-54.078"
"27","45.010E+00","297.3413E+00","-53.735"
"28","47.690E+00","286.3168E+00","-53.478"
"29","50.530E+00","275.3897E+00","-53.221"
"30","53.540E+00","264.7742E+00","-52.855"
"31","56.720E+00","255.0853E+00","-52.482"
"32","60.100E+00","246.0051E+00","-52.147"
"33","63.680E+00","237.8631E+00","-51.879"
"34","67.480E+00","228.6740E+00","-51.549"
"35","71.490E+00","220.6279E+00","-51.122"
"36","75.750E+00","213.2145E+00","-50.701"
"37","80.260E+00","206.2013E+00","-50.399"
"38","85.040E+00","199.0142E+00","-50.076"
"39","90.110E+00","192.0354E+00","-49.609"
"40","95.480E+00","185.7441E+00","-49.124"
"41","101.16E+00","180.1634E+00","-48.759"
"42","107.19E+00","174.5130E+00","-48.424"
"43","113.57E+00","168.9568E+00","-47.965"
"44","120.34E+00","164.0109E+00","-47.539"
"45","127.51E+00","158.9876E+00","-47.161"
"46","135.10E+00","154.1997E+00","-46.657"
"47","143.15E+00","149.8308E+00","-46.250"
"48","151.67E+00","145.2939E+00","-45.789"
"49","160.71E+00","141.2673E+00","-45.271"
"50","170.28E+00","137.3216E+00","-44.865"
"51","180.42E+00","133.4523E+00","-44.319"
