"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-08"
"TIME","18:07:39"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","1.128198E+03","-59.912"
"2","10.600E+00","1.077091E+03","-59.703"
"3","11.230E+00","1.028796E+03","-59.503"
"4","11.900E+00","982.9295E+00","-59.294"
"5","12.600E+00","940.1308E+00","-59.087"
"6","13.350E+00","899.3404E+00","-58.877"
"7","14.150E+00","860.3347E+00","-58.688"
"8","14.990E+00","822.9181E+00","-58.499"
"9","15.890E+00","787.2561E+00","-58.034"
"10","16.830E+00","749.7347E+00","-57.857"
"11","17.830E+00","716.8453E+00","-57.572"
"12","18.900E+00","685.9283E+00","-57.281"
"13","20.020E+00","657.2021E+00","-57.018"
"14","21.210E+00","629.8116E+00","-56.781"
"15","22.480E+00","602.7142E+00","-56.510"
"16","23.820E+00","576.9412E+00","-56.182"
"17","25.240E+00","552.6849E+00","-55.844"
"18","26.740E+00","529.9792E+00","-55.506"
"19","28.330E+00","508.7923E+00","-55.167"
"20","30.020E+00","488.7229E+00","-54.879"
"21","31.810E+00","468.9315E+00","-54.572"
"22","33.700E+00","449.7514E+00","-54.205"
"23","35.710E+00","431.6355E+00","-53.799"
"24","37.830E+00","414.8181E+00","-53.384"
"25","40.090E+00","399.3536E+00","-52.992"
"26","42.480E+00","384.2530E+00","-52.660"
"27","45.010E+00","369.6430E+00","-52.321"
"28","47.690E+00","355.3972E+00","-51.847"
"29","50.530E+00","342.1355E+00","-51.364"
"30","53.540E+00","329.9392E+00","-50.911"
"31","56.720E+00","318.5055E+00","-50.532"
"32","60.100E+00","307.0063E+00","-50.127"
"33","63.680E+00","295.9031E+00","-49.635"
"34","67.480E+00","285.3673E+00","-49.100"
"35","71.490E+00","275.9777E+00","-48.579"
"36","75.750E+00","267.1314E+00","-48.127"
"37","80.260E+00","258.2329E+00","-47.720"
"38","85.040E+00","249.4094E+00","-47.180"
"39","90.110E+00","241.3390E+00","-46.581"
"40","95.480E+00","234.7246E+00","-46.136"
"41","101.16E+00","227.3909E+00","-45.652"
"42","107.19E+00","220.6368E+00","-45.091"
"43","113.57E+00","214.4680E+00","-44.610"
"44","120.34E+00","208.0762E+00","-44.091"
"45","127.51E+00","202.3136E+00","-43.510"
"46","135.10E+00","196.8708E+00","-43.033"
"47","143.15E+00","191.3228E+00","-42.454"
"48","151.67E+00","186.4679E+00","-41.895"
"49","160.71E+00","181.5063E+00","-41.390"
"50","170.28E+00","176.7808E+00","-40.756"
"51","180.42E+00","172.5553E+00","-40.251"
"52","191.16E+00","168.1309E+00","-39.649"
"53","202.55E+00","164.3020E+00","-39.088"
"54","214.61E+00","160.2600E+00","-38.534"
"55","227.40E+00","156.6808E+00","-37.902"
"56","240.94E+00","153.0778E+00","-37.386"
"57","255.29E+00","149.8050E+00","-36.749"
"58","270.50E+00","146.4605E+00","-36.213"
"59","286.61E+00","143.5108E+00","-35.589"
"60","303.68E+00","140.4019E+00","-35.031"
"61","321.76E+00","137.7521E+00","-34.450"
"62","340.93E+00","134.8772E+00","-33.828"
"63","361.23E+00","132.3690E+00","-33.299"
"64","382.75E+00","129.9296E+00","-32.660"
"65","405.55E+00","127.4409E+00","-32.125"
"66","429.70E+00","125.2860E+00","-31.509"
"67","455.29E+00","123.0051E+00","-30.898"
"68","482.41E+00","120.8630E+00","-30.356"
"69","511.14E+00","118.9350E+00","-29.795"
"70","541.59E+00","117.0543E+00","-29.189"
"71","573.84E+00","115.1765E+00","-28.585"
"72","608.02E+00","113.3557E+00","-28.008"
"73","644.24E+00","111.6222E+00","-27.444"
"74","682.61E+00","109.9735E+00","-26.881"
"75","723.26E+00","108.4014E+00","-26.312"
"76","766.34E+00","106.9093E+00","-25.757"
"77","811.98E+00","105.4780E+00","-25.186"
"78","860.35E+00","104.1265E+00","-24.632"
"79","911.59E+00","102.8260E+00","-24.107"
"80","965.88E+00","101.5047E+00","-23.591"
"81","1.0234E+03","100.2721E+00","-23.039"
"82","1.0844E+03","99.15458E+00","-22.524"
"83","1.1490E+03","98.00008E+00","-21.996"
"84","1.2174E+03","96.92159E+00","-21.498"
"85","1.2899E+03","95.86239E+00","-20.992"
"86","1.3667E+03","94.89686E+00","-20.477"
"87","1.4481E+03","93.92656E+00","-19.961"
"88","1.5344E+03","93.00455E+00","-19.472"
"89","1.6258E+03","92.11073E+00","-18.993"
"90","1.7226E+03","91.22194E+00","-18.510"
"91","1.8252E+03","90.38915E+00","-18.020"
"92","1.9339E+03","89.61400E+00","-17.559"
"93","2.0491E+03","88.82167E+00","-17.092"
"94","2.1711E+03","88.09447E+00","-16.637"
"95","2.3004E+03","87.37801E+00","-16.174"
"96","2.4374E+03","86.69281E+00","-15.740"
"97","2.5826E+03","86.04039E+00","-15.304"
"98","2.7364E+03","85.39794E+00","-14.873"
"99","2.8994E+03","84.81849E+00","-14.461"
"100","3.0721E+03","84.20948E+00","-14.055"
"101","3.2551E+03","83.65538E+00","-13.664"
"102","3.4490E+03","83.11333E+00","-13.269"
"103","3.6544E+03","82.58679E+00","-12.887"
"104","3.8720E+03","82.09285E+00","-12.507"
"105","4.1027E+03","81.61642E+00","-12.141"
"106","4.3470E+03","81.14509E+00","-11.781"
"107","4.6059E+03","80.69974E+00","-11.427"
"108","4.8803E+03","80.26887E+00","-11.079"
"109","5.1709E+03","79.86824E+00","-10.740"
"110","5.4789E+03","79.46683E+00","-10.414"
"111","5.8052E+03","79.08274E+00","-10.092"
"112","6.1510E+03","78.71215E+00","-9.774"
"113","6.5173E+03","78.35877E+00","-9.465"
"114","6.9055E+03","78.02213E+00","-9.170"
"115","7.3168E+03","77.68536E+00","-8.878"
"116","7.7526E+03","77.38099E+00","-8.596"
"117","8.2143E+03","77.07384E+00","-8.320"
"118","8.7036E+03","76.78377E+00","-8.051"
"119","9.2220E+03","76.50735E+00","-7.793"
"120","9.7712E+03","76.23489E+00","-7.539"
"121","10.353E+03","75.96865E+00","-7.294"
"122","10.970E+03","75.71967E+00","-7.059"
"123","11.623E+03","75.48072E+00","-6.829"
"124","12.316E+03","75.25026E+00","-6.603"
"125","13.049E+03","75.02708E+00","-6.386"
"126","13.826E+03","74.81378E+00","-6.175"
"127","14.650E+03","74.60569E+00","-5.967"
"128","15.522E+03","74.40773E+00","-5.768"
"129","16.447E+03","74.21623E+00","-5.573"
"130","17.426E+03","74.03398E+00","-5.384"
"131","18.464E+03","73.85679E+00","-5.200"
"132","19.564E+03","73.68706E+00","-5.021"
"133","20.729E+03","73.52511E+00","-4.849"
"134","21.964E+03","73.36690E+00","-4.681"
"135","23.272E+03","73.21861E+00","-4.519"
"136","24.658E+03","73.07019E+00","-4.362"
"137","26.127E+03","72.93126E+00","-4.206"
"138","27.683E+03","72.79821E+00","-4.058"
"139","29.332E+03","72.66951E+00","-3.914"
"140","31.079E+03","72.54075E+00","-3.775"
"141","32.930E+03","72.42124E+00","-3.640"
"142","34.891E+03","72.30756E+00","-3.508"
"143","36.969E+03","72.19660E+00","-3.381"
"144","39.171E+03","72.09145E+00","-3.258"
"145","41.504E+03","71.99246E+00","-3.138"
"146","43.976E+03","71.89446E+00","-3.022"
"147","46.595E+03","71.80283E+00","-2.910"
"148","49.370E+03","71.71216E+00","-2.801"
