"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:33:53"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","7.80747E+02","-76.3462"
"2","10.6","7.43064E+02","-76.0895"
"3","11.23","7.10243E+02","-75.6472"
"4","11.9","6.77898E+02","-75.5553"
"5","12.6","6.47035E+02","-75.4841"
"6","13.35","6.16937E+02","-75.3997"
"7","14.15","5.87343E+02","-74.9586"
"8","14.99","5.60207E+02","-74.6106"
"9","15.89","5.33823E+02","-74.4433"
"10","16.83","5.09707E+02","-74.0634"
"11","17.83","4.86839E+02","-73.8856"
"12","18.9","4.65101E+02","-73.4867"
"13","20.02","4.45846E+02","-73.6338"
"14","21.21","4.23159E+02","-73.1756"
"15","22.48","4.04501E+02","-72.9381"
"16","23.82","3.86850E+02","-72.2954"
"17","25.24","3.69276E+02","-72.1300"
"18","26.74","3.54284E+02","-72.0033"
"19","28.33","3.38054E+02","-71.8982"
"20","30.02","3.21289E+02","-71.4827"
"21","31.81","3.07622E+02","-70.6015"
"22","33.7","2.95031E+02","-70.7452"
"23","35.71","2.80290E+02","-69.8446"
"24","37.83","2.69907E+02","-70.2168"
"25","40.09","2.59341E+02","-69.3680"
"26","42.48","2.44579E+02","-68.9086"
"27","45.01","2.34176E+02","-68.7253"
"28","47.69","2.26171E+02","-68.4262"
"29","50.53","2.16651E+02","-68.2170"
"30","53.54","2.06550E+02","-67.7544"
"31","56.72","1.96372E+02","-67.2862"
"32","60.1","1.87996E+02","-66.0991"
"33","63.68","1.81878E+02","-65.3276"
"34","67.48","1.74882E+02","-65.2452"
"35","71.49","1.66261E+02","-65.1450"
"36","75.75","1.58761E+02","-63.7856"
"37","80.26","1.54087E+02","-63.3991"
"38","85.04","1.46780E+02","-63.2537"
"39","90.11","1.41073E+02","-62.6435"
"40","95.48","1.34800E+02","-61.6346"
"41","101.16","1.30509E+02","-60.7639"
"42","107.19","1.24506E+02","-60.4558"
"43","113.57","1.20135E+02","-59.7982"
"44","120.34","1.16393E+02","-59.0919"
"45","127.51","1.10480E+02","-58.2448"
"46","135.1","1.06968E+02","-57.5693"
"47","143.15","1.03053E+02","-57.0146"
"48","151.67","9.91087E+01","-55.8059"
"49","160.71","9.59161E+01","-55.4680"
"50","170.28","9.22724E+01","-53.9846"
"51","180.42","8.92333E+01","-53.7379"
"52","191.16","8.61190E+01","-52.5155"
"53","202.55","8.32189E+01","-52.0239"
"54","214.61","8.02802E+01","-50.8563"
"55","227.4","7.79959E+01","-50.1555"
"56","240.94","7.54233E+01","-49.1546"
"57","255.29","7.32157E+01","-48.6781"
"58","270.5","7.10840E+01","-47.5104"
"59","286.61","6.89263E+01","-46.4466"
"60","303.68","6.73216E+01","-45.5128"
"61","321.76","6.50588E+01","-44.8196"
"62","340.93","6.33921E+01","-43.6750"
"63","361.23","6.16727E+01","-42.5331"
"64","382.75","6.01079E+01","-41.6951"
"65","405.55","5.84656E+01","-40.8804"
"66","429.7","5.69130E+01","-40.1195"
"67","455.29","5.57653E+01","-38.7581"
"68","482.41","5.43308E+01","-38.0572"
"69","511.14","5.31788E+01","-36.9065"
"70","541.59","5.19309E+01","-36.1188"
"71","573.84","5.08740E+01","-34.9860"
"72","608.02","5.00479E+01","-34.2737"
"73","644.24","4.89623E+01","-33.3877"
"74","682.61","4.81456E+01","-32.4828"
"75","723.26","4.71084E+01","-31.7557"
"76","766.34","4.62453E+01","-30.8990"
"77","811.98","4.55812E+01","-29.7806"
"78","860.35","4.50122E+01","-29.2351"
"79","911.59","4.38145E+01","-27.9552"
"80","965.88","4.35137E+01","-27.2039"
"81","1023.4","4.29857E+01","-26.5226"
"82","1084.4","4.23955E+01","-25.7522"
"83","1149.0","4.15784E+01","-24.8613"
"84","1217.4","4.12700E+01","-23.8947"
"85","1289.9","4.06669E+01","-23.2765"
"86","1366.7","4.00496E+01","-22.1715"
"87","1448.1","4.00456E+01","-21.7951"
