"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-08"
"TIME","18:07:39"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","1.18230E+03","-62.9427"
"2","10.6","1.12887E+03","-62.7758"
"3","11.23","1.07795E+03","-62.4758"
"4","11.9","1.03020E+03","-62.2405"
"5","12.6","9.85171E+02","-62.1078"
"6","13.35","9.43059E+02","-61.8103"
"7","14.15","9.01548E+02","-61.6216"
"8","14.99","8.62883E+02","-61.4389"
"9","15.89","8.25214E+02","-60.9377"
"10","16.83","7.85790E+02","-60.7221"
"11","17.83","7.51631E+02","-60.5231"
"12","18.9","7.18774E+02","-60.0961"
"13","20.02","6.88804E+02","-59.8954"
"14","21.21","6.60402E+02","-59.6164"
"15","22.48","6.31585E+02","-59.4383"
"16","23.82","6.04719E+02","-58.9980"
"17","25.24","5.79665E+02","-58.6321"
"18","26.74","5.55466E+02","-58.2853"
"19","28.33","5.33805E+02","-57.9600"
"20","30.02","5.12555E+02","-57.5364"
"21","31.81","4.91317E+02","-57.3457"
"22","33.7","4.71481E+02","-56.9446"
"23","35.71","4.52008E+02","-56.3905"
"24","37.83","4.34756E+02","-56.0552"
"25","40.09","4.18810E+02","-55.7145"
"26","42.48","4.02961E+02","-55.3650"
"27","45.01","3.87792E+02","-54.9087"
"28","47.69","3.72623E+02","-54.5258"
"29","50.53","3.58616E+02","-53.8951"
"30","53.54","3.45959E+02","-53.3684"
"31","56.72","3.33975E+02","-53.0058"
"32","60.1","3.21988E+02","-52.6609"
"33","63.68","3.10477E+02","-52.0761"
"34","67.48","2.98929E+02","-51.6392"
"35","71.49","2.89550E+02","-51.1694"
"36","75.75","2.80197E+02","-50.5675"
"37","80.26","2.70540E+02","-50.1304"
"38","85.04","2.61618E+02","-49.5211"
"39","90.11","2.53047E+02","-48.8968"
"40","95.48","2.46109E+02","-48.5078"
"41","101.16","2.38424E+02","-47.9590"
"42","107.19","2.31347E+02","-47.3452"
"43","113.57","2.24728E+02","-46.8781"
"44","120.34","2.18181E+02","-46.2589"
"45","127.51","2.12025E+02","-45.7268"
"46","135.1","2.06447E+02","-45.2210"
"47","143.15","2.00516E+02","-44.5059"
"48","151.67","1.95426E+02","-43.9761"
"49","160.71","1.90263E+02","-43.4054"
"50","170.28","1.85278E+02","-42.8378"
"51","180.42","1.81090E+02","-42.2786"
"52","191.16","1.76329E+02","-41.6407"
"53","202.55","1.72143E+02","-41.0703"
"54","214.61","1.68030E+02","-40.4514"
"55","227.4","1.64199E+02","-39.7576"
"56","240.94","1.60499E+02","-39.3115"
"57","255.29","1.56963E+02","-38.6431"
"58","270.5","1.53531E+02","-38.0629"
"59","286.61","1.50408E+02","-37.3998"
"60","303.68","1.47213E+02","-36.7807"
"61","321.76","1.44483E+02","-36.1442"
"62","340.93","1.41537E+02","-35.5055"
"63","361.23","1.38761E+02","-34.9622"
"64","382.75","1.36254E+02","-34.2639"
"65","405.55","1.33521E+02","-33.7195"
"66","429.7","1.31184E+02","-33.0261"
"67","455.29","1.28900E+02","-32.4236"
"68","482.41","1.26675E+02","-31.8336"
"69","511.14","1.24680E+02","-31.2633"
"70","541.59","1.22729E+02","-30.6440"
"71","573.84","1.20805E+02","-29.9970"
"72","608.02","1.18781E+02","-29.4398"
"73","644.24","1.17021E+02","-28.8215"
"74","682.61","1.15235E+02","-28.2079"
"75","723.26","1.13719E+02","-27.6748"
"76","766.34","1.12156E+02","-27.0381"
"77","811.98","1.10637E+02","-26.4190"
"78","860.35","1.09135E+02","-25.8687"
"79","911.59","1.07792E+02","-25.2671"
"80","965.88","1.06496E+02","-24.7694"
"81","1023.4","1.05167E+02","-24.1726"
"82","1084.4","1.03968E+02","-23.6533"
"83","1149.0","1.02743E+02","-23.0958"
"84","1217.4","1.01595E+02","-22.5553"
"85","1289.9","1.00495E+02","-22.0190"
"86","1366.7","9.94452E+01","-21.5370"
"87","1448.1","9.85040E+01","-20.9912"
"88","1534.4","9.75513E+01","-20.4411"
"89","1625.8","9.65242E+01","-19.9571"
"90","1722.6","9.56130E+01","-19.4378"
"91","1825.2","9.47204E+01","-18.9142"
"92","1933.9","9.39949E+01","-18.4330"
"93","2049.1","9.30933E+01","-17.9330"
"94","2171.1","9.23788E+01","-17.4721"
"95","2300.4","9.16117E+01","-16.9754"
"96","2437.4","9.08612E+01","-16.5303"
"97","2582.6","9.02202E+01","-16.0774"
"98","2736.4","8.94951E+01","-15.6237"
"99","2899.4","8.88596E+01","-15.1892"
"100","3072.1","8.82748E+01","-14.7401"
"101","3255.1","8.76714E+01","-14.3609"
"102","3449.0","8.71656E+01","-13.9700"
"103","3654.4","8.65417E+01","-13.5516"
"104","3872.0","8.60899E+01","-13.1493"
"105","4102.7","8.56148E+01","-12.7415"
"106","4347.0","8.50636E+01","-12.3701"
"107","4605.9","8.45817E+01","-12.0123"
"108","4880.3","8.41409E+01","-11.6411"
"109","5170.9","8.37369E+01","-11.2747"
"110","5478.9","8.33060E+01","-10.9299"
"111","5805.2","8.29643E+01","-10.5920"
"112","6151.0","8.24771E+01","-10.2527"
"113","6517.3","8.21169E+01","-9.9306"
"114","6905.5","8.17802E+01","-9.6294"
"115","7316.8","8.13877E+01","-9.3266"
"116","7752.6","8.10710E+01","-9.0229"
"117","8214.3","8.08579E+01","-8.7305"
"118","8703.6","8.04272E+01","-8.4541"
"119","9222.0","8.02823E+01","-8.2037"
"120","9771.2","7.98773E+01","-7.9077"
"121","10353.0","7.96302E+01","-7.6685"
"122","10970.0","7.93661E+01","-7.4150"
"123","11623.0","7.91305E+01","-7.1716"
"124","12316.0","7.88677E+01","-6.9402"
"125","13049.0","7.86814E+01","-6.6991"
"126","13826.0","7.84116E+01","-6.4925"
"127","14650.0","7.82166E+01","-6.2687"
"128","15522.0","7.80036E+01","-6.0609"
"129","16447.0","7.78404E+01","-5.8588"
"130","17426.0","7.76461E+01","-5.6532"
"131","18464.0","7.74223E+01","-5.4609"
"132","19564.0","7.72742E+01","-5.2734"
"133","20729.0","7.70609E+01","-5.1022"
"134","21964.0","7.68882E+01","-4.9179"
"135","23272.0","7.68221E+01","-4.7446"
"136","24658.0","7.65983E+01","-4.5823"
"137","26127.0","7.64540E+01","-4.4154"
"138","27683.0","7.63285E+01","-4.2562"
"139","29332.0","7.61652E+01","-4.1095"
"140","31079.0","7.60142E+01","-3.9638"
"141","32930.0","7.59370E+01","-3.8179"
"142","34891.0","7.58419E+01","-3.6846"
"143","36969.0","7.56799E+01","-3.5481"
"144","39171.0","7.55045E+01","-3.4188"
"145","41504.0","7.55111E+01","-3.2951"
"146","43976.0","7.53190E+01","-3.1765"
"147","46595.0","7.52584E+01","-3.0588"
"148","49370.0","7.51502E+01","-2.9416"
"149","52311.0","7.50674E+01","-2.8276"
"150","55427.0","7.50602E+01","-2.7181"
"151","58728.0","7.49618E+01","-2.6203"
"152","62226.0","7.48108E+01","-2.5215"
"153","65932.0","7.47898E+01","-2.4262"
"154","69859.0","7.46663E+01","-2.3251"
"155","74020.0","7.45841E+01","-2.2361"
