"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:35:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","782.6196E+00","-72.155"
"2","10.600E+00","746.9681E+00","-72.158"
"3","11.230E+00","712.2971E+00","-71.882"
"4","11.900E+00","681.0437E+00","-71.433"
"5","12.600E+00","650.0601E+00","-71.355"
"6","13.350E+00","623.3333E+00","-71.142"
"7","14.150E+00","595.4470E+00","-71.075"
"8","14.990E+00","566.0889E+00","-70.848"
"9","15.890E+00","541.1335E+00","-70.691"
"10","16.830E+00","515.3705E+00","-70.423"
"11","17.830E+00","492.2728E+00","-70.231"
"12","18.900E+00","469.7698E+00","-69.929"
"13","20.020E+00","450.0352E+00","-69.574"
"14","21.210E+00","432.5217E+00","-69.670"
"15","22.480E+00","410.5314E+00","-69.205"
"16","23.820E+00","391.9610E+00","-69.174"
"17","25.240E+00","374.6082E+00","-68.665"
"18","26.740E+00","358.3196E+00","-68.270"
"19","28.330E+00","343.4053E+00","-68.003"
"20","30.020E+00","329.9941E+00","-68.038"
"21","31.810E+00","312.4549E+00","-67.891"
"22","33.700E+00","299.1863E+00","-66.893"
"23","35.710E+00","284.5166E+00","-67.397"
"24","37.830E+00","275.9536E+00","-66.174"
"25","40.090E+00","260.0774E+00","-65.940"
"26","42.480E+00","250.1924E+00","-66.380"
"27","45.010E+00","240.3600E+00","-66.060"
"28","47.690E+00","231.3273E+00","-64.957"
"29","50.530E+00","221.3500E+00","-64.529"
"30","53.540E+00","212.1687E+00","-64.235"
"31","56.720E+00","202.1096E+00","-64.173"
"32","60.100E+00","192.0505E+00","-63.711"
"33","63.680E+00","183.2678E+00","-62.744"
"34","67.480E+00","177.2463E+00","-61.859"
"35","71.490E+00","170.6861E+00","-61.941"
"36","75.750E+00","161.4707E+00","-61.577"
"37","80.260E+00","155.4488E+00","-60.313"
"38","85.040E+00","149.7743E+00","-60.262"
"39","90.110E+00","143.7282E+00","-59.584"
"40","95.480E+00","137.8007E+00","-59.220"
"41","101.16E+00","131.6267E+00","-57.872"
"42","107.19E+00","127.0750E+00","-57.788"
"43","113.57E+00","122.3328E+00","-57.048"
"44","120.34E+00","117.5502E+00","-55.904"
"45","127.51E+00","113.0156E+00","-55.845"
"46","135.10E+00","108.7411E+00","-54.853"
"47","143.15E+00","105.6188E+00","-54.023"
"48","151.67E+00","100.5816E+00","-53.177"
"49","160.71E+00","97.78611E+00","-52.417"
"50","170.28E+00","93.75329E+00","-51.779"
"51","180.42E+00","90.90319E+00","-50.958"
