"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:32:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","643.5480E+00","-70.320"
"2","10.600E+00","612.6693E+00","-70.170"
"3","11.230E+00","584.3315E+00","-69.841"
"4","11.900E+00","556.0762E+00","-69.682"
"5","12.600E+00","530.6869E+00","-69.453"
"6","13.350E+00","507.9066E+00","-69.171"
"7","14.150E+00","484.2661E+00","-68.984"
"8","14.990E+00","462.9608E+00","-68.613"
"9","15.890E+00","443.0260E+00","-68.686"
"10","16.830E+00","422.3091E+00","-68.341"
"11","17.830E+00","401.8989E+00","-67.884"
"12","18.900E+00","385.3431E+00","-67.636"
"13","20.020E+00","369.9650E+00","-67.219"
"14","21.210E+00","352.6752E+00","-67.172"
"15","22.480E+00","338.4367E+00","-66.969"
"16","23.820E+00","322.8910E+00","-66.736"
"17","25.240E+00","307.7837E+00","-66.410"
"18","26.740E+00","296.6843E+00","-65.767"
"19","28.330E+00","282.3032E+00","-65.624"
"20","30.020E+00","269.6264E+00","-65.406"
"21","31.810E+00","257.9237E+00","-64.755"
"22","33.700E+00","248.8714E+00","-64.924"
"23","35.710E+00","237.9109E+00","-64.365"
"24","37.830E+00","226.6367E+00","-63.286"
"25","40.090E+00","216.8471E+00","-63.248"
"26","42.480E+00","209.8861E+00","-63.668"
"27","45.010E+00","201.0582E+00","-62.690"
"28","47.690E+00","192.1953E+00","-61.907"
"29","50.530E+00","184.1934E+00","-61.222"
"30","53.540E+00","177.4315E+00","-60.754"
"31","56.720E+00","170.6068E+00","-60.680"
"32","60.100E+00","163.0744E+00","-60.569"
"33","63.680E+00","154.7622E+00","-59.792"
"34","67.480E+00","149.0464E+00","-58.610"
"35","71.490E+00","144.7647E+00","-58.112"
"36","75.750E+00","138.2951E+00","-58.232"
"37","80.260E+00","132.3437E+00","-57.289"
"38","85.040E+00","127.8854E+00","-56.781"
"39","90.110E+00","123.1250E+00","-55.812"
"40","95.480E+00","119.0732E+00","-55.553"
"41","101.16E+00","113.3760E+00","-54.666"
"42","107.19E+00","109.9587E+00","-54.078"
"43","113.57E+00","106.6073E+00","-53.365"
"44","120.34E+00","101.7846E+00","-52.333"
"45","127.51E+00","98.79369E+00","-51.965"
"46","135.10E+00","95.28912E+00","-51.342"
"47","143.15E+00","92.25521E+00","-49.941"
"48","151.67E+00","89.26903E+00","-49.596"
"49","160.71E+00","85.92126E+00","-48.796"
"50","170.28E+00","83.40733E+00","-48.170"
"51","180.42E+00","80.85526E+00","-47.334"
"52","191.16E+00","78.27577E+00","-46.584"
"53","202.55E+00","75.67377E+00","-45.517"
"54","214.61E+00","73.97389E+00","-44.795"
"55","227.40E+00","71.39619E+00","-43.736"
"56","240.94E+00","69.36298E+00","-43.251"
"57","255.29E+00","67.67157E+00","-42.189"
"58","270.50E+00","65.53421E+00","-41.418"
"59","286.61E+00","63.92911E+00","-40.392"
"60","303.68E+00","62.53139E+00","-39.531"
"61","321.76E+00","60.59877E+00","-38.885"
"62","340.93E+00","59.41086E+00","-38.108"
"63","361.23E+00","57.97496E+00","-37.184"
"64","382.75E+00","56.52071E+00","-36.013"
"65","405.55E+00","55.39500E+00","-35.505"
"66","429.70E+00","54.01753E+00","-34.559"
"67","455.29E+00","52.83842E+00","-33.978"
"68","482.41E+00","51.82430E+00","-32.953"
"69","511.14E+00","50.67270E+00","-31.941"
"70","541.59E+00","49.97117E+00","-31.245"
"71","573.84E+00","48.92461E+00","-30.456"
"72","608.02E+00","48.15631E+00","-29.588"
"73","644.24E+00","47.33912E+00","-28.536"
"74","682.61E+00","46.59510E+00","-28.048"
"75","723.26E+00","45.82708E+00","-27.235"
"76","766.34E+00","45.02639E+00","-26.503"
"77","811.98E+00","44.47452E+00","-25.545"
"78","860.35E+00","43.63477E+00","-25.185"
"79","911.59E+00","43.31691E+00","-24.005"
"80","965.88E+00","42.48794E+00","-23.747"
"81","1.0234E+03","41.83712E+00","-22.857"
"82","1.0844E+03","41.40528E+00","-22.044"
"83","1.1490E+03","40.92599E+00","-21.483"
"84","1.2174E+03","40.57573E+00","-20.756"
"85","1.2899E+03","40.31771E+00","-20.378"
"86","1.3667E+03","39.68709E+00","-19.833"
"87","1.4481E+03","39.25500E+00","-18.788"
"88","1.5344E+03","39.10246E+00","-18.310"
"89","1.6258E+03","38.65533E+00","-17.569"
"90","1.7226E+03","38.12931E+00","-17.127"
"91","1.8252E+03","37.92592E+00","-16.535"
"92","1.9339E+03","37.64126E+00","-16.421"
"93","2.0491E+03","37.47124E+00","-15.897"
"94","2.1711E+03","37.18274E+00","-14.791"
"95","2.3004E+03","36.86440E+00","-14.337"
"96","2.4374E+03","36.52472E+00","-13.939"
"97","2.5826E+03","36.02798E+00","-13.627"
"98","2.7364E+03","36.16033E+00","-13.146"
"99","2.8994E+03","35.86518E+00","-12.811"
"100","3.0721E+03","35.77088E+00","-12.523"
"101","3.2551E+03","35.23216E+00","-11.983"
"102","3.4490E+03","35.10975E+00","-11.268"
"103","3.6544E+03","35.04052E+00","-11.002"
"104","3.8720E+03","34.93792E+00","-11.104"
"105","4.1027E+03","34.23804E+00","-10.471"
"106","4.3470E+03","34.82801E+00","-10.176"
"107","4.6059E+03","35.03227E+00","-9.962"
"108","4.8803E+03","34.11018E+00","-9.439"
"109","5.1709E+03","33.58549E+00","-9.117"
"110","5.4789E+03","33.23102E+00","-8.726"
"111","5.8052E+03","33.69576E+00","-8.155"
"112","6.1510E+03","33.85541E+00","-8.157"
"113","6.5173E+03","33.28520E+00","-7.627"
"114","6.9055E+03","33.58469E+00","-7.452"
"115","7.3168E+03","32.89599E+00","-7.960"
"116","7.7526E+03","33.39441E+00","-7.505"
"117","8.2143E+03","33.10854E+00","-6.505"
"118","8.7036E+03","32.74738E+00","-6.648"
"119","9.2220E+03","32.46233E+00","-6.202"
"120","9.7712E+03","32.91685E+00","-6.492"
"121","10.353E+03","32.55535E+00","-6.177"
"122","10.970E+03","32.50156E+00","-5.553"
"123","11.623E+03","32.14798E+00","-5.189"
"124","12.316E+03","32.46246E+00","-5.732"
"125","13.049E+03","32.24466E+00","-5.048"
"126","13.826E+03","32.35526E+00","-4.712"
"127","14.650E+03","32.03982E+00","-4.908"
"128","15.522E+03","32.12111E+00","-4.855"
"129","16.447E+03","31.67486E+00","-4.616"
"130","17.426E+03","31.77977E+00","-4.241"
"131","18.464E+03","31.58931E+00","-4.104"
"132","19.564E+03","31.67779E+00","-3.817"
"133","20.729E+03","31.67382E+00","-3.302"
"134","21.964E+03","31.52414E+00","-3.763"
"135","23.272E+03","31.51412E+00","-3.401"
"136","24.658E+03","31.44082E+00","-3.589"
"137","26.127E+03","31.45872E+00","-3.481"
"138","27.683E+03","31.74436E+00","-3.403"
"139","29.332E+03","31.49477E+00","-3.243"
"140","31.079E+03","31.55989E+00","-2.819"
"141","32.930E+03","31.41011E+00","-2.777"
"142","34.891E+03","31.32221E+00","-2.701"
"143","36.969E+03","31.19483E+00","-2.379"
"144","39.171E+03","31.13473E+00","-2.592"
"145","41.504E+03","31.13344E+00","-2.187"
"146","43.976E+03","31.17700E+00","-2.239"
"147","46.595E+03","31.14986E+00","-2.308"
"148","49.370E+03","31.06670E+00","-2.002"
"149","52.311E+03","30.93075E+00","-1.816"
"150","55.427E+03","30.95905E+00","-2.008"
"151","58.728E+03","30.88089E+00","-1.853"
"152","62.226E+03","31.02918E+00","-1.647"
"153","65.932E+03","30.98068E+00","-1.671"
"154","69.859E+03","30.97592E+00","-1.668"
"155","74.020E+03","31.03091E+00","-1.461"
"156","78.428E+03","30.90506E+00","-1.442"
"157","83.099E+03","30.90246E+00","-1.143"
"158","88.049E+03","30.87330E+00","-1.235"
"159","93.293E+03","30.91437E+00","-1.469"
"160","98.850E+03","30.72079E+00","-1.107"
"161","104.74E+03","30.74404E+00","-1.151"
"162","110.98E+03","30.68297E+00","-1.171"
"163","117.58E+03","30.78434E+00","-0.951"
"164","124.59E+03","30.66953E+00","-1.060"
"165","132.01E+03","30.68753E+00","-1.009"
"166","139.87E+03","30.75490E+00","-0.830"
"167","148.20E+03","30.68049E+00","-0.740"
"168","157.03E+03","30.72311E+00","-0.747"
"169","166.38E+03","30.65116E+00","-0.678"
"170","176.29E+03","30.54639E+00","-0.711"
"171","186.79E+03","30.72561E+00","-0.601"
"172","197.92E+03","30.60558E+00","-0.563"
"173","209.70E+03","30.75710E+00","-0.200"
"174","222.19E+03","30.59557E+00","-0.294"
"175","235.43E+03","30.67552E+00","-0.301"
"176","249.45E+03","30.41413E+00","-0.088"
"177","264.31E+03","30.55050E+00","-0.117"
"178","280.05E+03","30.64969E+00","-0.228"
"179","296.73E+03","30.59913E+00","-0.003"
"180","314.40E+03","30.51280E+00","-0.014"
"181","333.13E+03","30.61810E+00","0.201"
"182","352.97E+03","30.55296E+00","0.108"
"183","373.99E+03","30.59606E+00","0.361"
"184","396.27E+03","30.44873E+00","0.193"
"185","419.87E+03","30.61512E+00","0.405"
"186","444.88E+03","30.52104E+00","0.696"
"187","471.38E+03","30.54265E+00","0.568"
"188","499.45E+03","30.55400E+00","0.739"
"189","529.20E+03","30.57458E+00","0.776"
