"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:35:36"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","799.0872E+00","-72.165"
"2","10.600E+00","764.4759E+00","-72.089"
"3","11.230E+00","729.3969E+00","-72.168"
"4","11.900E+00","693.4986E+00","-71.582"
"5","12.600E+00","662.1339E+00","-71.490"
"6","13.350E+00","632.3204E+00","-71.206"
"7","14.150E+00","605.3237E+00","-70.989"
"8","14.990E+00","577.9337E+00","-70.969"
"9","15.890E+00","550.6120E+00","-70.667"
"10","16.830E+00","525.2271E+00","-70.556"
"11","17.830E+00","501.7316E+00","-70.383"
"12","18.900E+00","478.7014E+00","-70.088"
"13","20.020E+00","455.6198E+00","-69.996"
"14","21.210E+00","438.5492E+00","-69.424"
"15","22.480E+00","417.0804E+00","-69.382"
"16","23.820E+00","399.2446E+00","-69.285"
"17","25.240E+00","380.3924E+00","-69.014"
"18","26.740E+00","362.5603E+00","-68.694"
"19","28.330E+00","346.0387E+00","-68.267"
"20","30.020E+00","332.8874E+00","-67.743"
"21","31.810E+00","319.9718E+00","-67.957"
"22","33.700E+00","302.1080E+00","-67.499"
"23","35.710E+00","291.0881E+00","-67.182"
"24","37.830E+00","275.2784E+00","-66.494"
"25","40.090E+00","264.4029E+00","-66.685"
"26","42.480E+00","255.6280E+00","-66.014"
"27","45.010E+00","244.2242E+00","-65.310"
"28","47.690E+00","231.5525E+00","-64.751"
"29","50.530E+00","220.7718E+00","-64.304"
"30","53.540E+00","212.0483E+00","-63.855"
"31","56.720E+00","204.3239E+00","-63.628"
"32","60.100E+00","196.1505E+00","-63.529"
"33","63.680E+00","186.7042E+00","-63.309"
"34","67.480E+00","177.5670E+00","-62.505"
"35","71.490E+00","171.8571E+00","-61.602"
