"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:36:50"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","8.81405E+02","-75.8451"
"2","10.6","8.40029E+02","-75.7258"
"3","11.23","7.99856E+02","-75.5746"
"4","11.9","7.58363E+02","-75.8950"
"5","12.6","7.29766E+02","-75.1416"
"6","13.35","6.95254E+02","-75.2146"
"7","14.15","6.60144E+02","-74.8632"
"8","14.99","6.33985E+02","-74.1805"
"9","15.89","6.02027E+02","-74.1209"
"10","16.83","5.77214E+02","-73.9721"
"11","17.83","5.51415E+02","-73.6782"
"12","18.9","5.25211E+02","-73.1000"
"13","20.02","5.01723E+02","-72.9694"
"14","21.21","4.77019E+02","-72.7890"
"15","22.48","4.58866E+02","-72.3122"
"16","23.82","4.37111E+02","-71.8181"
"17","25.24","4.17489E+02","-71.8146"
"18","26.74","3.98753E+02","-71.5355"
"19","28.33","3.80984E+02","-71.2170"
"20","30.02","3.60971E+02","-70.8629"
"21","31.81","3.47165E+02","-69.6293"
"22","33.7","3.36106E+02","-69.8984"
"23","35.71","3.15951E+02","-68.8569"
"24","37.83","3.05051E+02","-69.5975"
"25","40.09","2.92969E+02","-67.7200"
"26","42.48","2.76445E+02","-67.2961"
"27","45.01","2.63989E+02","-67.2259"
"28","47.69","2.54221E+02","-67.3360"
"29","50.53","2.43197E+02","-66.9038"
"30","53.54","2.32021E+02","-66.0625"
"31","56.72","2.23068E+02","-64.6192"
"32","60.1","2.16045E+02","-63.9955"
"33","63.68","2.08511E+02","-63.9801"
"34","67.48","1.98277E+02","-63.6764"
"35","71.49","1.88773E+02","-62.4296"
"36","75.75","1.83992E+02","-61.4278"
"37","80.26","1.75310E+02","-61.7319"
"38","85.04","1.67476E+02","-60.3583"
"39","90.11","1.62420E+02","-60.0645"
"40","95.48","1.56485E+02","-58.6255"
"41","101.16","1.50102E+02","-58.5120"
"42","107.19","1.44418E+02","-57.3811"
"43","113.57","1.39224E+02","-56.8107"
"44","120.34","1.34193E+02","-56.2560"
"45","127.51","1.30007E+02","-54.6499"
"46","135.1","1.24741E+02","-54.2961"
"47","143.15","1.20507E+02","-53.1002"
"48","151.67","1.16767E+02","-52.5949"
"49","160.71","1.12801E+02","-51.6450"
"50","170.28","1.09878E+02","-50.5577"
"51","180.42","1.05388E+02","-49.8033"
"52","191.16","1.03033E+02","-48.8875"
"53","202.55","9.88090E+01","-47.8890"
"54","214.61","9.68474E+01","-46.9241"
"55","227.4","9.35109E+01","-46.0086"
"56","240.94","9.11094E+01","-45.2339"
"57","255.29","8.82650E+01","-43.9923"
"58","270.5","8.57936E+01","-43.2566"
"59","286.61","8.37061E+01","-42.4950"
"60","303.68","8.22590E+01","-41.3303"
"61","321.76","7.98177E+01","-40.3162"
"62","340.93","7.81219E+01","-39.5074"
"63","361.23","7.64914E+01","-38.6047"
"64","382.75","7.46768E+01","-37.6344"
"65","405.55","7.27563E+01","-36.7616"
"66","429.7","7.12978E+01","-35.6697"
"67","455.29","6.98730E+01","-34.9436"
"68","482.41","6.83639E+01","-33.9410"
"69","511.14","6.74480E+01","-32.8744"
"70","541.59","6.60030E+01","-31.8542"
"71","573.84","6.51025E+01","-31.3019"
"72","608.02","6.37200E+01","-30.3147"
"73","644.24","6.26282E+01","-29.7455"
"74","682.61","6.15548E+01","-28.6701"
"75","723.26","6.07694E+01","-27.8138"
"76","766.34","5.97831E+01","-26.8315"
"77","811.98","5.90717E+01","-26.1816"
"78","860.35","5.82796E+01","-25.4601"
"79","911.59","5.74220E+01","-24.8521"
"80","965.88","5.66257E+01","-23.9415"
"81","1023.4","5.61534E+01","-23.1888"
"82","1084.4","5.55208E+01","-22.5715"
"83","1149.0","5.46737E+01","-22.0558"
"84","1217.4","5.42834E+01","-21.2704"
"85","1289.9","5.35791E+01","-20.2846"
"86","1366.7","5.30547E+01","-19.5544"
"87","1448.1","5.26294E+01","-19.1852"
"88","1534.4","5.19457E+01","-18.4604"
"89","1625.8","5.17840E+01","-17.8771"
"90","1722.6","5.12770E+01","-17.4492"
"91","1825.2","5.08593E+01","-16.4583"
"92","1933.9","5.02768E+01","-16.8787"
"93","2049.1","5.01513E+01","-15.8117"
"94","2171.1","4.96172E+01","-15.0135"
"95","2300.4","4.91437E+01","-14.6800"
"96","2437.4","4.91248E+01","-14.5432"
"97","2582.6","4.86355E+01","-13.8838"
"98","2736.4","4.86074E+01","-13.1340"
"99","2899.4","4.79810E+01","-13.1040"
"100","3072.1","4.79313E+01","-12.4276"
"101","3255.1","4.75038E+01","-12.2970"
"102","3449.0","4.74444E+01","-12.0698"
