"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:36:41"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","906.7628E+00","-72.513"
"2","10.600E+00","864.4104E+00","-72.330"
"3","11.230E+00","824.8898E+00","-72.258"
"4","11.900E+00","784.9188E+00","-71.910"
"5","12.600E+00","750.4470E+00","-71.686"
"6","13.350E+00","715.5489E+00","-71.401"
"7","14.150E+00","682.2560E+00","-71.122"
"8","14.990E+00","650.9960E+00","-71.352"
"9","15.890E+00","620.7972E+00","-70.557"
"10","16.830E+00","592.4964E+00","-70.422"
"11","17.830E+00","567.5609E+00","-70.071"
"12","18.900E+00","543.6990E+00","-70.026"
"13","20.020E+00","515.2474E+00","-69.705"
"14","21.210E+00","492.3843E+00","-69.125"
"15","22.480E+00","468.3317E+00","-69.208"
"16","23.820E+00","448.7206E+00","-68.634"
"17","25.240E+00","428.6995E+00","-68.218"
"18","26.740E+00","410.2726E+00","-67.863"
"19","28.330E+00","390.4065E+00","-67.492"
"20","30.020E+00","374.0706E+00","-67.005"
"21","31.810E+00","359.0191E+00","-67.051"
"22","33.700E+00","338.2083E+00","-66.484"
"23","35.710E+00","331.2265E+00","-65.788"
"24","37.830E+00","310.1757E+00","-65.154"
"25","40.090E+00","300.5872E+00","-65.898"
"26","42.480E+00","289.0136E+00","-64.871"
"27","45.010E+00","275.0716E+00","-63.562"
"28","47.690E+00","262.5378E+00","-62.919"
"29","50.530E+00","251.5004E+00","-62.444"
"30","53.540E+00","241.6306E+00","-62.142"
"31","56.720E+00","233.1574E+00","-61.915"
"32","60.100E+00","222.5480E+00","-61.754"
"33","63.680E+00","212.0249E+00","-61.308"
"34","67.480E+00","202.7810E+00","-60.399"
"35","71.490E+00","196.0441E+00","-59.630"
