"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:36:50"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","915.2016E+00","-72.464"
"2","10.600E+00","871.0738E+00","-72.236"
"3","11.230E+00","829.8188E+00","-72.101"
"4","11.900E+00","788.0285E+00","-72.399"
"5","12.600E+00","757.1998E+00","-71.735"
"6","13.350E+00","720.9033E+00","-71.663"
"7","14.150E+00","684.8715E+00","-71.428"
"8","14.990E+00","657.9174E+00","-70.701"
"9","15.890E+00","625.4839E+00","-70.717"
"10","16.830E+00","599.4456E+00","-70.408"
"11","17.830E+00","571.8807E+00","-70.221"
"12","18.900E+00","544.7188E+00","-69.681"
"13","20.020E+00","520.8191E+00","-69.632"
"14","21.210E+00","494.7589E+00","-69.423"
"15","22.480E+00","476.0476E+00","-68.883"
"16","23.820E+00","453.4510E+00","-68.514"
"17","25.240E+00","433.4255E+00","-68.392"
"18","26.740E+00","414.1830E+00","-68.178"
"19","28.330E+00","395.0579E+00","-67.952"
"20","30.020E+00","374.6782E+00","-67.510"
"21","31.810E+00","360.4201E+00","-66.350"
"22","33.700E+00","348.7209E+00","-66.653"
"23","35.710E+00","327.7603E+00","-65.618"
"24","37.830E+00","316.5052E+00","-66.384"
"25","40.090E+00","303.9292E+00","-64.638"
"26","42.480E+00","286.6897E+00","-64.101"
"27","45.010E+00","273.8522E+00","-64.106"
"28","47.690E+00","263.9261E+00","-64.157"
"29","50.530E+00","252.3507E+00","-63.783"
"30","53.540E+00","240.7245E+00","-63.005"
"31","56.720E+00","231.3063E+00","-61.618"
"32","60.100E+00","224.1745E+00","-61.104"
"33","63.680E+00","216.1671E+00","-60.985"
"34","67.480E+00","205.6844E+00","-60.699"
"35","71.490E+00","195.8918E+00","-59.451"
"36","75.750E+00","190.9631E+00","-58.597"
"37","80.260E+00","182.0424E+00","-58.795"
"38","85.040E+00","173.8204E+00","-57.517"
"39","90.110E+00","168.5025E+00","-57.205"
"40","95.480E+00","162.3152E+00","-55.934"
"41","101.16E+00","155.7781E+00","-55.807"
"42","107.19E+00","149.8737E+00","-54.667"
