"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:36:41"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","9.42148E+02","-68.8706"
"2","10.6","8.98670E+02","-68.8022"
"3","11.23","8.56826E+02","-68.4729"
"4","11.9","8.15333E+02","-68.1775"
"5","12.6","7.79660E+02","-68.1220"
"6","13.35","7.43688E+02","-67.8948"
"7","14.15","7.08170E+02","-67.5178"
"8","14.99","6.75845E+02","-67.8158"
"9","15.89","6.44461E+02","-67.0473"
"10","16.83","6.15092E+02","-66.7637"
"11","17.83","5.89431E+02","-66.5664"
"12","18.9","5.64629E+02","-66.5699"
"13","20.02","5.35353E+02","-66.1283"
"14","21.21","5.11709E+02","-65.6409"
"15","22.48","4.86339E+02","-65.6808"
"16","23.82","4.66383E+02","-65.1682"
"17","25.24","4.45672E+02","-64.7948"
"18","26.74","4.26584E+02","-64.3879"
"19","28.33","4.05270E+02","-64.0769"
"20","30.02","3.88398E+02","-63.5895"
"21","31.81","3.73061E+02","-63.5736"
"22","33.7","3.51402E+02","-63.1740"
"23","35.71","3.43928E+02","-62.4023"
"24","37.83","3.22219E+02","-61.9599"
"25","40.09","3.12221E+02","-62.5612"
"26","42.48","3.00206E+02","-61.5198"
"27","45.01","2.85567E+02","-60.3582"
"28","47.69","2.72753E+02","-59.7203"
"29","50.53","2.61141E+02","-59.2678"
"30","53.54","2.51307E+02","-59.0001"
"31","56.72","2.42199E+02","-58.8266"
"32","60.1","2.31108E+02","-58.5747"
"33","63.68","2.20273E+02","-58.1351"
"34","67.48","2.10468E+02","-57.3871"
"35","71.49","2.03574E+02","-56.5493"
"36","75.75","1.95247E+02","-56.4124"
"37","80.26","1.87638E+02","-55.0115"
"38","85.04","1.81477E+02","-54.9813"
"39","90.11","1.71547E+02","-54.2025"
"40","95.48","1.66888E+02","-53.4639"
"41","101.16","1.60232E+02","-52.6194"
"42","107.19","1.54533E+02","-52.2583"
"43","113.57","1.48537E+02","-51.0654"
"44","120.34","1.43227E+02","-50.4448"
"45","127.51","1.37818E+02","-49.9931"
"46","135.1","1.34067E+02","-48.9028"
"47","143.15","1.28780E+02","-48.4805"
"48","151.67","1.24755E+02","-47.1583"
"49","160.71","1.20447E+02","-46.9109"
"50","170.28","1.16599E+02","-45.9851"
"51","180.42","1.13125E+02","-45.1653"
"52","191.16","1.09032E+02","-44.1282"
"53","202.55","1.06714E+02","-43.5436"
"54","214.61","1.02734E+02","-42.6203"
"55","227.4","1.00631E+02","-41.8447"
"56","240.94","9.72559E+01","-40.7064"
"57","255.29","9.44205E+01","-40.0039"
"58","270.5","9.22381E+01","-39.3253"
"59","286.61","8.99528E+01","-38.1775"
"60","303.68","8.71375E+01","-37.4192"
"61","321.76","8.50512E+01","-36.3980"
"62","340.93","8.31925E+01","-35.8727"
"63","361.23","8.13790E+01","-34.9832"
"64","382.75","7.93894E+01","-34.2115"
"65","405.55","7.79403E+01","-32.9806"
"66","429.7","7.61648E+01","-31.9551"
"67","455.29","7.44863E+01","-31.4081"
"68","482.41","7.33315E+01","-30.6250"
"69","511.14","7.16353E+01","-30.0346"
"70","541.59","7.04959E+01","-29.1869"
"71","573.84","6.93194E+01","-28.1047"
"72","608.02","6.79204E+01","-27.4906"
"73","644.24","6.67334E+01","-26.6790"
"74","682.61","6.57614E+01","-25.5779"
"75","723.26","6.49147E+01","-25.1536"
"76","766.34","6.40041E+01","-24.5225"
"77","811.98","6.30804E+01","-23.6440"
"78","860.35","6.24941E+01","-23.0651"
"79","911.59","6.12957E+01","-22.4768"
"80","965.88","6.06906E+01","-21.7077"
"81","1023.4","5.99594E+01","-20.9759"
"82","1084.4","5.93740E+01","-20.1999"
"83","1149.0","5.84204E+01","-19.7568"
"84","1217.4","5.78165E+01","-18.9322"
"85","1289.9","5.75295E+01","-18.4545"
"86","1366.7","5.66741E+01","-17.9781"
"87","1448.1","5.64094E+01","-17.3454"
"88","1534.4","5.58330E+01","-16.6117"
"89","1625.8","5.51308E+01","-16.2202"
"90","1722.6","5.48915E+01","-15.4118"
"91","1825.2","5.45704E+01","-15.2901"
"92","1933.9","5.42810E+01","-14.4161"
"93","2049.1","5.33335E+01","-14.1158"
"94","2171.1","5.30789E+01","-14.0346"
"95","2300.4","5.23346E+01","-13.4218"
"96","2437.4","5.23126E+01","-12.6757"
"97","2582.6","5.23129E+01","-12.5642"
"98","2736.4","5.18161E+01","-11.9526"
"99","2899.4","5.15225E+01","-11.9709"
"100","3072.1","5.10562E+01","-11.4610"
"101","3255.1","5.12626E+01","-10.6774"
"102","3449.0","5.07381E+01","-10.6084"
"103","3654.4","4.99360E+01","-9.9170"
"104","3872.0","4.99598E+01","-9.4147"
"105","4102.7","4.97168E+01","-9.5869"
"106","4347.0","4.94791E+01","-9.5610"
"107","4605.9","4.91578E+01","-8.9231"
"108","4880.3","4.88796E+01","-8.4117"
"109","5170.9","4.86267E+01","-8.1553"
"110","5478.9","4.84435E+01","-8.1119"
"111","5805.2","4.87008E+01","-7.6407"
"112","6151.0","4.83291E+01","-7.8056"
"113","6517.3","4.80789E+01","-7.3440"
"114","6905.5","4.77206E+01","-6.5274"
