"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:33:53"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","744.9371E+00","-73.162"
"2","10.600E+00","709.1681E+00","-72.877"
"3","11.230E+00","677.8272E+00","-72.558"
"4","11.900E+00","647.0188E+00","-72.459"
"5","12.600E+00","617.3335E+00","-72.316"
"6","13.350E+00","589.1105E+00","-72.187"
"7","14.150E+00","560.4682E+00","-71.986"
"8","14.990E+00","534.8427E+00","-71.472"
"9","15.890E+00","509.3015E+00","-71.384"
"10","16.830E+00","486.5851E+00","-71.061"
"11","17.830E+00","464.5285E+00","-70.748"
"12","18.900E+00","443.8643E+00","-70.516"
"13","20.020E+00","425.7563E+00","-70.509"
"14","21.210E+00","403.9465E+00","-70.213"
"15","22.480E+00","386.1141E+00","-69.899"
"16","23.820E+00","369.1551E+00","-69.357"
"17","25.240E+00","352.5266E+00","-69.136"
"18","26.740E+00","338.3331E+00","-68.961"
"19","28.330E+00","322.5916E+00","-68.876"
"20","30.020E+00","306.8203E+00","-68.551"
"21","31.810E+00","293.4155E+00","-67.702"
"22","33.700E+00","281.3834E+00","-67.746"
"23","35.710E+00","267.8119E+00","-66.902"
"24","37.830E+00","257.6340E+00","-67.304"
"25","40.090E+00","247.4220E+00","-66.583"
"26","42.480E+00","233.3294E+00","-66.131"
"27","45.010E+00","223.5167E+00","-65.944"
"28","47.690E+00","215.8638E+00","-65.655"
"29","50.530E+00","206.8026E+00","-65.439"
"30","53.540E+00","197.0271E+00","-64.977"
"31","56.720E+00","187.5906E+00","-64.336"
"32","60.100E+00","179.4903E+00","-63.407"
"33","63.680E+00","173.5278E+00","-62.682"
"34","67.480E+00","166.9174E+00","-62.583"
"35","71.490E+00","158.7490E+00","-62.427"
"36","75.750E+00","151.5630E+00","-61.156"
"37","80.260E+00","147.0006E+00","-60.772"
"38","85.040E+00","140.0989E+00","-60.700"
"39","90.110E+00","134.6064E+00","-59.973"
