"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:33:46"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","735.6453E+00","-73.058"
"2","10.600E+00","702.4911E+00","-72.949"
"3","11.230E+00","669.1852E+00","-72.873"
"4","11.900E+00","637.0114E+00","-72.371"
"5","12.600E+00","607.5215E+00","-72.205"
"6","13.350E+00","580.2477E+00","-71.862"
"7","14.150E+00","555.4629E+00","-71.598"
"8","14.990E+00","527.9251E+00","-71.496"
"9","15.890E+00","505.2109E+00","-71.314"
"10","16.830E+00","481.8472E+00","-71.092"
"11","17.830E+00","459.3768E+00","-70.935"
"12","18.900E+00","437.1176E+00","-70.724"
"13","20.020E+00","416.9634E+00","-70.222"
"14","21.210E+00","401.5450E+00","-69.807"
"15","22.480E+00","381.3035E+00","-69.565"
"16","23.820E+00","365.2636E+00","-69.489"
"17","25.240E+00","348.1483E+00","-69.230"
"18","26.740E+00","331.9388E+00","-68.709"
"19","28.330E+00","317.4622E+00","-68.265"
"20","30.020E+00","305.6391E+00","-67.973"
"21","31.810E+00","291.1405E+00","-67.946"
"22","33.700E+00","277.1747E+00","-67.210"
"23","35.710E+00","265.7623E+00","-67.660"
"24","37.830E+00","253.7174E+00","-66.330"
"25","40.090E+00","240.8592E+00","-66.358"
"26","42.480E+00","234.1534E+00","-65.991"
"27","45.010E+00","223.3507E+00","-65.477"
"28","47.690E+00","212.3575E+00","-64.883"
"29","50.530E+00","202.9523E+00","-64.300"
"30","53.540E+00","195.3662E+00","-63.786"
"31","56.720E+00","188.0552E+00","-63.634"
"32","60.100E+00","179.9609E+00","-63.588"
"33","63.680E+00","171.0829E+00","-63.247"
"34","67.480E+00","163.1616E+00","-62.272"
"35","71.490E+00","158.0661E+00","-61.509"
"36","75.750E+00","151.7217E+00","-61.592"
"37","80.260E+00","143.5732E+00","-60.876"
"38","85.040E+00","138.8994E+00","-60.135"
"39","90.110E+00","133.3019E+00","-59.640"
"40","95.480E+00","128.8958E+00","-59.181"
"41","101.16E+00","122.2897E+00","-58.360"
"42","107.19E+00","118.1282E+00","-57.695"
"43","113.57E+00","114.0656E+00","-57.329"
