"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:31:57"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","702.6510E+00","-71.083"
"2","10.600E+00","668.7591E+00","-71.197"
"3","11.230E+00","639.2361E+00","-70.846"
"4","11.900E+00","607.9029E+00","-70.606"
"5","12.600E+00","579.6790E+00","-70.575"
"6","13.350E+00","554.0795E+00","-70.172"
"7","14.150E+00","528.7392E+00","-70.276"
"8","14.990E+00","502.3949E+00","-69.766"
"9","15.890E+00","481.4824E+00","-69.580"
"10","16.830E+00","458.5545E+00","-69.388"
"11","17.830E+00","437.3203E+00","-69.303"
"12","18.900E+00","417.1943E+00","-69.131"
"13","20.020E+00","397.6744E+00","-68.407"
"14","21.210E+00","381.4248E+00","-68.110"
"15","22.480E+00","363.2100E+00","-67.885"
"16","23.820E+00","346.9018E+00","-67.680"
"17","25.240E+00","331.6744E+00","-67.505"
"18","26.740E+00","316.1857E+00","-67.078"
"19","28.330E+00","301.3890E+00","-66.715"
"20","30.020E+00","289.5190E+00","-66.395"
"21","31.810E+00","275.7414E+00","-66.047"
"22","33.700E+00","265.8203E+00","-65.566"
"23","35.710E+00","251.9734E+00","-65.914"
"24","37.830E+00","242.7948E+00","-64.774"
"25","40.090E+00","230.4139E+00","-64.678"
"26","42.480E+00","223.6506E+00","-64.338"
"27","45.010E+00","213.6454E+00","-63.770"
"28","47.690E+00","203.6328E+00","-62.983"
"29","50.530E+00","194.5599E+00","-62.410"
"30","53.540E+00","187.0991E+00","-61.862"
"31","56.720E+00","180.2318E+00","-61.574"
"32","60.100E+00","172.6326E+00","-61.530"
"33","63.680E+00","163.8489E+00","-61.160"
"34","67.480E+00","156.6618E+00","-59.972"
"35","71.490E+00","151.9296E+00","-59.251"
"36","75.750E+00","145.7118E+00","-59.392"
"37","80.260E+00","139.2431E+00","-58.653"
"38","85.040E+00","134.3681E+00","-57.978"
"39","90.110E+00","128.6385E+00","-57.183"
"40","95.480E+00","124.6397E+00","-56.512"
"41","101.16E+00","118.9632E+00","-56.028"
"42","107.19E+00","114.6676E+00","-55.395"
"43","113.57E+00","111.3551E+00","-54.439"
"44","120.34E+00","106.0013E+00","-53.815"
"45","127.51E+00","102.7030E+00","-53.226"
"46","135.10E+00","99.45033E+00","-52.752"
"47","143.15E+00","95.81567E+00","-51.248"
"48","151.67E+00","92.31495E+00","-51.079"
"49","160.71E+00","89.25369E+00","-50.000"
